episode	scene	segment	onset	offset	duration	descriptor	caption	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	ONbond_end	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Pheob_Rach	loc_coffeeshop	loc_outside	loc_other
s5e03a	1	1	0.0	30.0	30.0		La gang arrive à l'hôpital et Phoebe se présente à l'accueil.	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	1	2	30.0	47.0	17.0		Joey demande à Phoebe de dire un mot à la caméro pour la venue de ses bébés.	False	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	1	3	47.0	69.0	22.0		Monica fait croire que Chandler et elle sont en retard parce qu'elle avait oublié son jacket...	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	1	4	69.0	78.0	9.0		Phoebe leur demande d'appeler son frère et Alice pour les aviser et Joey continue à prendre des photos souvenirs...	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True
s5e03a	2	5	78.0	85.0	7.0	theme song	chanson thème	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
s5e03a	3	6	85.0	88.0	3.0	transition	transition	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s5e03a	4	7	88.0	143.0	55.0		Ross explique à Phoebe qu'elle devra accoucher avec un autre médecin puisque ce dernier est tombé et s'est cogné la tête ; Joey a des douleurs sympathiques !	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	4	8	143.0	162.0	19.0		Dr Harad se présente à Phoebe.	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True
s5e03a	4	9	162.0	171.0	9.0		La gang s'interrogent sur ce que le Dr Harad a dit : « Il aime Fonzie ».	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	4	10	171.0	197.0	26.0		Frank Jr est arrivé seul et explique à Phoebe qu'Alice sera en retard. 	False	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s5e03a	4	11	197.0	270.0	73.0		Monica refuse l'invitation pour une date que Rachel leur a organisé avec deux infirmiers.	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s5e03a	5	12	270.0	274.0	4.0	transition	transition	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s5e03a	6	13	274.0	295.0	21.0		Joey a acheté un Playboy pour tourner à la caméra un souvenir pour les enfants.	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	6	14	295.0	310.0	15.0		Phoebe sent qu'elle accouche, mais fausse alerte !	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	6	15	310.0	337.0	27.0		Joey leur dit que Monica et Rachel auront une date avec deux infirmiers.	False	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	6	16	337.0	364.0	27.0		Dr Harad réitère son admiration pour Fonzie.	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True
s5e03a	6	17	364.0	394.0	30.0		Phoebe exige de lui trouver un autre médecin que ce Fonzie !	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s5e03a	7	18	394.0	426.0	32.0		Chandler dit à Monica qu'elle peut aller en date, mais que lui aussi le fera !	True	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	7	19	426.0	438.0	12.0		Joey a de plus en plus de douleurs sympathiques.	False	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s5e03a	7	20	438.0	484.0	46.0		Phoebe fait pleurer le Dr Oberman en le chassant de la salle d'accouchement.	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s5e03a	7	21	484.0	508.0	24.0		Joey rencontre un médecin pour ses douleurs.	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s5e03a	7	22	508.0	532.0	24.0		Dr Harad rassure Phoebe en lui disant qu'il n'est pas le vrai Fonzie.	True	False	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	True
s5e03a	7	23	532.0	615.0	83.0		Phoebe veut convaincre Rachel de l'aider à garder un des triplet !	False	False	True	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s5e03a	7	24	615.0	625.0	10.0		Monica soutient Joey.	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s5e03a	7	25	625.0	654.0	29.0		Le médecin explique à Joey comment les pierres aux reins peuvent être expulsées du corps. 	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True
