word	start_time	end_time
Do	1.7	3.3
Phoebe.	3.3	3.8
Are	3.8	4.0
you	4.0	4.1
still	4.1	4.5
on?	4.5	4.6
Hold,	4.6	4.8
I'm	4.8	5.0
supposed	5.0	5.3
to	5.3	5.3
call	5.3	5.5
my	5.5	5.6
dad	5.6	5.8
back	5.8	6.0
like	6.0	6.2
2	6.2	6.4
hours	6.4	7.0
ago.	7.0	7.2
He	7.2	9.3
said	9.3	9.6
call	9.6	9.9
him	9.9	9.9
as	9.9	10.1
soon	10.1	10.2
as	10.2	10.4
you	10.4	10.5
get	10.5	10.6
a	10.6	10.7
chance,	10.7	10.8
okay?	10.8	14.2
That's	14.2	14.6
the	14.6	14.7
word	14.7	14.9
I	14.9	15.0
use.	15.0	15.2
When	15.2	15.3
I	15.3	15.3
can	15.3	15.5
remember	15.5	15.7
the	15.7	15.9
real	15.9	16.2
thing.	16.2	16.4
Okay,	18.5	18.9
hang	18.9	19.4
up	19.4	19.5
that's	19.5	20.0
it.	20.0	20.3
Come	20.3	20.5
on	20.5	20.5
Rachel.	20.5	22.0
That's	22.0	22.3
what	22.3	22.5
they	22.5	22.6
want	22.6	22.9
me	22.9	23.0
to	23.0	23.1
do.	23.1	23.4
My	23.4	23.6
warranty	23.6	24.2
expires	24.2	24.8
tomorrow	24.8	25.0
if	25.0	25.3
I	25.3	25.4
don't	25.4	25.5
get	25.5	25.7
through	25.7	26.1
they're	26.1	26.5
not	26.5	26.6
going	26.6	26.8
to	26.8	26.8
fix	26.8	27.0
my	27.0	27.2
crappy	27.2	27.7
broken	27.7	28.1
phone	28.1	28.4
for	28.4	28.6
free.	28.6	28.9
We	28.9	29.4
cannot	29.4	29.8
let	29.8	29.9
them	29.9	30.1
win	30.1	30.4
versus	30.4	31.1
them.	31.1	31.5
I	34.0	34.3
say	34.3	34.6
hang	34.6	34.9
up	34.9	35.0
on	35.0	36.4
us	36.4	36.5
vs	36.5	36.9
Monica	36.9	37.3
and	37.3	37.5
them.	37.5	37.8
Hey,	39.6	40.0
listen.	40.0	41.9
I	41.9	42.1
got	42.1	42.2
a	42.2	42.3
double	42.3	42.5
check	42.5	42.6
for	42.6	42.9
