word	start_time	end_time
Hey,	8.5	8.9
do	8.9	10.8
you	10.8	10.9
guys	10.9	11.1
doing	11.1	11.3
before	11.3	13.2
he	13.2	13.2
went	13.2	13.4
to	13.4	13.5
bed?	13.5	13.6
Dark	18.8	19.3
red.	19.3	19.5
Yeah,	21.7	22.1
I	22.1	22.2
think	22.2	22.4
that's	22.4	22.5
wrong	22.5	22.8
but	22.8	23.0
doesn't	23.0	23.3
connect	23.3	23.4
the	23.4	23.6
dots	23.6	23.9
in	23.9	24.0
here	24.0	24.2
for	24.2	24.4
you	24.4	24.5
later.	24.5	24.8
Have	27.1	27.5
a	27.5	27.6
timer.	27.6	28.2
You	30.2	31.1
are	31.1	31.3
so	31.3	31.5
smart.	31.5	31.8
You	33.5	34.8
guys	34.8	35.0
are	35.0	35.1
so	35.1	35.3
cute	35.3	35.3
in	35.3	39.6
the	39.6	39.7
morning.	39.7	39.9
no,	51.8	54.6
I'm	54.6	54.8
not	54.8	64.3
dog	64.3	65.0
but	65.0	65.6
Cat.	67.4	68.0
Princess	71.5	72.4
Mars.	72.4	73.1
Love	76.1	76.5
you.	76.5	76.8
Love	76.8	77.7
you,	77.7	77.9
too.	77.9	78.2
Still	142.4	144.2
need	144.2	144.4
to	144.4	144.5
hold	144.5	146.3
on.	146.3	146.4
I	147.6	147.9
got	147.9	148.2
it.	148.2	148.4
Nickel.	149.8	150.6
How	152.0	152.2
much	152.2	152.5
water	152.5	152.6
we	152.6	152.8
need	152.8	152.8
couple	152.8	153.9
of	153.9	154.0
bucks?	154.0	154.3
You	157.6	157.9
guys	157.9	158.1
should	158.1	158.2
probably	158.2	158.3
keep	158.3	158.6
talking.	158.6	159.0
This	159.0	159.1
could	159.1	159.2
take	159.2	159.4
a	159.4	159.5
while.	159.5	159.5
Oh	163.6	164.0
my	164.0	164.2
God,	164.2	164.6
this	164.6	164.7
is	164.7	164.8
a	164.8	164.9
police	164.9	165.3
badge.	165.3	165.6
Why	165.6	166.9
would	166.9	167.1
have	167.1	167.2
come	167.2	167.5
in	167.5	167.5
here	167.5	167.7
though?	167.7	167.9
They	167.9	168.0
don't	168.0	168.1
serve	168.1	168.4
Donuts.	168.4	168.5
You're	172.0	172.5
actually	172.5	172.6
could	172.6	172.9
you	172.9	173.0
discover	173.0	173.3
