word	start_time	end_time
Oh,	9.9	10.2
and	10.2	10.4
look	10.4	10.8
ugly	10.8	11.7
naked	11.7	11.9
guys.	11.9	12.3
Hanging	12.3	12.5
candy	12.5	12.9
canes.	12.9	13.4
Oh	16.5	16.9
well,	16.9	19.0
that's	19.0	19.7
festive.	19.7	20.5
There's	23.6	24.8
somebody	24.8	25.6
I'd	25.6	25.7
like	25.7	25.9
you	25.9	26.0
to	26.0	26.1
meet.	26.1	26.1
What	27.3	31.1
is	31.1	31.3
that?	31.3	31.5
Would	31.5	32.3
be	32.3	32.3
Marcel?	32.3	33.0
My	37.1	37.5
friend	37.5	37.8
Bethel	37.8	38.1
rescued	38.1	38.6
him	38.6	38.8
from	38.8	38.9
some	38.9	39.0
lab.	39.0	39.6
Charlie	42.5	43.4
Bethel.	43.4	43.7
Hey,	47.5	47.8
that	47.8	48.2
monkeys	48.2	48.5
going	48.5	48.7
to	48.7	48.7
Ross	48.7	49.0
on	49.0	49.1
his	49.1	49.4
ass.	49.4	49.6
A	55.4	55.6
ticket	55.6	55.9
at	55.9	56.0
live	56.0	56.3
with	56.3	56.5
you	56.5	56.7
like	56.7	57.0
in	57.0	57.3
your	57.3	57.4
apartment	57.4	57.8
if	57.8	61.0
so	61.0	61.1
perfect.	61.1	67.7
Toilets.	70.2	71.8
That's	71.8	72.0
perfect.	72.0	72.7
Which	72.7	73.0
is	73.0	73.2
sanskrit	73.2	73.7
for	73.7	74.0
really	74.0	74.2
cool.	74.2	74.4
Way	74.4	74.5
to	74.5	74.6
live.	74.6	74.9
All	84.6	85.5
the	85.5	85.7
material	85.7	86.1
tonight,	86.1	86.3
I	86.3	87.1
have	87.1	87.2
12	87.2	87.5
new	87.5	87.7
songs	87.7	88.0
about	88.0	88.1
my	88.1	88.3
mother's	88.3	88.6
suicide	88.6	88.9
and	88.9	89.4
one	89.4	89.6
about	89.6	89.8
a	89.8	89.8
Snowman.	89.8	90.1
Might	93.4	93.8
want	93.8	93.9
to	93.9	94.0
open	94.0	94.2
with	94.2	94.3
the	94.3	94.4
Snowman.	94.4	94.7
How'd	98.1	100.4
it	100.4	100.4
go?	100.4	100.5
I	100.6	102.5
didn't	102.5	102.8
get	102.8	102.9
the	102.9	103.0
job.	103.0	103.3
I	109.3	109.5
don't	109.5	109.8
know	109.8	109.9
some	109.9	110.4
fat	110.4	110.7
guys,	110.7	111.0
sleep	111.0	111.4
with	111.4	111.5
the	111.5	111.6
store	111.6	111.9
manager.	111.9	111.9
Is	114.1	114.4
that	114.4	114.6
even	114.6	114.7
jolly?	114.7	115.3
It's	115.3	115.6
all	115.6	115.7
political	115.7	115.8
I'm	118.8	119.3
going	119.3	119.4
to	119.4	119.5
be	119.5	119.6
one	119.6	119.7
of	119.7	119.8
his	119.8	119.9
helpers	119.9	120.2
but	120.2	120.6
it's	120.6	121.2
just	121.2	121.4
such	121.4	121.7
a	121.7	121.8
slap	121.8	122.2
in	122.2	122.3
