word	start_time	end_time
Cuz	10.0	10.6
everytime	10.6	11.3
I	11.3	11.9
can	11.9	15.1
help	15.1	15.8
you.	15.8	15.9
I	15.9	22.2
never	22.2	22.4
thought	22.4	22.5
of	22.5	22.7
that	22.7	22.8
before.	22.8	23.0
I	26.1	26.6
like	26.6	26.8
your	26.8	27.0
wife	27.0	27.6
is,	27.6	27.8
she	27.8	27.8
can	27.8	28.1
sing	28.1	28.5
and	28.5	28.7
play	28.7	28.9
guitar	28.9	29.0
and	29.0	29.7
do	29.7	29.8
both	29.8	30.0
at	30.0	30.1
the	30.1	30.2
same	30.2	30.3
time.	30.3	30.5
And	32.6	33.0
that's	33.0	33.3
pretty	33.3	33.6
much	33.6	33.7
all	33.7	33.9
I'm	33.9	34.0
looking	34.0	34.1
for	34.1	34.3
from	34.3	34.6
these	34.6	34.7
people.	34.7	35.0
Games	38.7	39.2
to	39.2	39.4
buy.	39.4	39.5
You	39.5	39.8
two	39.8	39.9
have	39.9	40.1
completely	40.1	40.6
different	40.6	41.1
styles,	41.1	41.8
you	41.8	41.9
know,	41.9	42.0
she's	42.0	42.4
more.	42.4	42.7
You're	46.1	46.6
more.	46.6	47.0
Play	57.5	59.1
everybody	59.1	59.7
else	59.7	59.8
is	59.8	59.9
happy.	59.9	60.3
She's	60.3	60.5
done.	60.5	60.8
Okay,	62.8	63.4
my	63.4	63.6
next	63.6	63.9
song	63.9	64.1
is	64.1	64.4
called	64.4	65.0
Phoebe	65.0	66.1
buffay.	66.1	66.4
What	66.4	67.0
can	67.0	67.2
I	67.2	67.3
say?	67.3	67.6
I	67.6	67.7
really	67.7	68.0
loved.	68.0	68.5
We	68.5	68.8
were	68.8	68.9
singing	68.9	69.2
partners	69.2	69.7
and	69.7	69.9
I	69.9	70.0
shoulda	70.0	70.4
left	70.4	70.4
you	70.4	70.7
that	70.7	70.9
way.	70.9	71.1
Oh	74.3	74.9
no,	74.9	75.1
one	75.1	75.6
of	75.6	75.7
those	75.7	75.8
look	75.8	76.3
for	76.3	76.4
the	76.4	76.5
hidden,	76.5	76.6
meaning	76.6	76.9
songs.	76.9	77.5
Hey	91.1	91.5
Leslie.	91.5	91.9
How'd	91.9	92.8
you	92.8	93.0
know,	93.0	93.0
I'd	93.0	93.2
be	93.2	93.3
here.	93.3	93.4
I	93.4	94.3
ran	94.3	94.6
in	94.6	94.6
the	94.6	94.7
bladder	94.7	95.1
the	95.1	95.3
place	95.3	95.6
where	95.6	95.7
they	95.7	95.8
sell	95.8	95.9
the	95.9	96.2
big	96.2	96.4
fish	96.4	96.9
and	96.9	97.1
he	97.1	97.5
said	97.5	97.8
he	97.8	97.9
played	97.9	98.1
her	98.1	98.2
last	98.2	98.6
so	98.6	98.7
long.	98.7	98.8
I'd	98.8	103.6
like	103.6	103.8
to	103.8	103.9
know	103.9	104.0
where	104.0	104.1
that	104.1	104.2
at	104.2	104.3
several	104.3	104.7
big	104.7	104.9
fish	104.9	105.3
or	105.3	105.6
just	105.6	105.6
one	105.6	105.9
big	105.9	106.1
fish.	106.1	106.4
So,	108.4	108.9
he	108.9	109.4
tells	109.4	109.7
us,	109.7	109.8
you	109.8	110.0
write	110.0	110.2
Jingles	110.2	110.4
jingles.	110.4	113.2
