word	start_time	end_time
Please,	5.1	5.6
could	5.6	5.8
you	5.8	5.9
get	5.9	6.0
that?	6.0	6.1
Please	6.1	6.4
just	6.4	7.7
cuz	7.7	8.0
you're	8.0	8.1
too	8.1	8.4
lazy	8.4	8.7
to	8.7	9.0
get	9.0	9.1
up	9.1	9.2
off	9.2	9.4
your	9.4	9.5
No,	11.9	12.3
it's	12.3	12.5
just	12.5	12.5
that	12.5	12.8
all	12.8	12.9
the	12.9	13.1
people	13.1	13.2
in	13.2	13.5
the	13.5	13.6
entire	13.6	13.8
world	13.8	14.4
that	14.4	14.7
I	14.7	14.9
would	14.9	15.1
want	15.1	15.2
to	15.2	15.3
talk	15.3	15.5
to	15.5	15.6
you	15.6	15.7
or	15.7	15.9
right	15.9	16.1
here.	16.1	16.3
Hey	24.8	25.1
peeps.	25.1	25.8
Listen.	25.8	26.6
Can	26.6	26.8
you	26.8	26.8
do	26.8	27.0
me	27.0	27.1
a	27.1	27.1
favor?	27.1	27.5
I	27.5	27.7
forgot	27.7	28.0
the	28.0	28.3
pin	28.3	28.6
number	28.6	28.9
to	28.9	28.9
my	28.9	29.1
ATM	29.1	29.6
card	29.6	29.8
yet.	29.8	30.2
Can	30.2	30.4
you	30.4	30.4
get	30.4	30.5
it	30.5	30.6
for	30.6	30.7
me?	30.7	30.8
I	31.8	32.7
scratched	32.7	33.2
it	33.2	33.3
on	33.3	33.4
the	33.4	33.5
ATM	33.5	33.8
machine	33.8	34.3
Down	34.3	34.5
on	34.5	34.6
the	34.6	34.7
Corner.	34.7	35.0
Said,	38.9	39.4
thanks,	39.4	39.8
babe.	39.8	40.0
Chandler,	42.5	43.1
which	43.1	46.7
is	46.7	46.9
a	46.9	47.0
big	47.0	47.3
mistake	47.3	47.5
because	47.5	47.9
it	47.9	48.6
is	48.6	48.8
real	48.8	49.2
real.	49.2	49.6
Who	56.4	56.8
is	56.8	57.0
that?	57.0	57.1
My	57.1	58.2
stunt	58.2	58.6
double	58.6	58.7
and,	58.7	59.5
you	59.5	59.7
know	59.7	59.7
he's	59.7	60.0
getting	60.0	60.1
a	60.1	60.2
little	60.2	60.3
too	60.3	60.5
familiar	60.5	60.7
for	60.7	61.1
my	61.1	61.2
text.	61.2	61.6
I	62.9	63.2
want	63.2	63.4
to	63.4	63.5
apologize	63.5	64.1
to	64.1	64.4
you	64.4	64.5
all	64.5	64.9
week	64.9	65.1
if	65.1	65.3
he's	65.3	65.4
not	65.4	65.5
to	65.5	65.6
let	65.6	65.8
me	65.8	65.8
do	65.8	65.9
it	65.9	66.0
on	66.0	66.1
the	66.1	66.2
phone.	66.2	66.4
I'm	66.4	67.0
going	67.0	67.1
to	67.1	67.2
go	67.2	67.3
down	67.3	67.5
there.	67.5	67.8
I'm	67.8	68.0
going	68.0	68.0
to	68.0	68.1
do	68.1	68.2
it	68.2	68.3
in	68.3	68.4
person.	68.4	68.5
Can	68.5	70.4
you	70.4	70.5
