word	start_time	end_time
Terry,	7.1	7.7
I,	7.7	7.9
I	7.9	8.0
know	8.0	8.5
that	8.5	8.7
I	8.7	8.8
haven't	8.8	9.1
worked	9.1	9.4
here	9.4	9.6
very	9.6	9.9
long	9.9	10.0
but	10.0	10.3
I	10.3	10.5
was	10.5	10.7
wondering,	10.7	10.9
do	10.9	11.5
you	11.5	11.6
think	11.6	11.7
it	11.7	11.9
would	11.9	12.0
be	12.0	12.0
possible	12.0	12.4
if	12.4	12.7
I	12.7	12.9
got	12.9	13.2
a	13.2	13.2
$100	13.2	14.3
advance	14.3	14.5
on	14.5	14.8
my	14.8	15.0
salary	15.0	15.1
Thanksgiving	15.1	19.6
with	19.6	19.7
my	19.7	19.8
family?	19.8	20.5
My	23.4	23.7
father	23.7	24.1
Pace	24.1	24.4
was	24.4	24.5
my	24.5	24.7
ticket	24.7	25.0
but	25.0	25.3
I	25.3	25.7
sort	25.7	26.2
of	26.2	26.3
started	26.3	26.7
this	26.7	26.8
whole	26.8	27.0
Independence	27.0	27.8
thing,	27.8	28.2
you	28.2	28.3
know,	28.3	28.5
it's	28.5	28.8
actually	28.8	29.4
why	29.4	29.8
I	29.8	29.9
took	29.9	30.1
this	30.1	30.3
sweetheart.	30.3	35.2
You're	36.8	37.3
a	37.3	37.4
terrible,	37.4	37.8
terrible,	37.8	38.1
waitress	38.1	38.9
and	38.9	39.0
really	39.0	40.8
really	40.8	41.1
awful.	41.1	42.1
I	44.9	45.5
hear	45.5	46.0
what	46.0	46.1
you're	46.1	46.2
saying.	46.2	46.7
I'm	46.7	47.0
with	47.0	47.3
you.	47.3	47.5
Trying	49.8	50.4
really	50.4	50.7
hard	50.7	50.9
and	50.9	51.4
I	51.4	51.5
think	51.5	52.1
I'm	52.1	52.2
doing	52.2	52.8
better.	52.8	53.0
I	53.0	54.0
really	54.0	54.1
do.	54.1	54.7
Does	56.2	56.6
anybody	56.6	56.9
need	56.9	57.2
coffee?	57.2	57.7
Excuse	72.4	72.8
me,	72.8	73.0
sir.	73.0	73.3
Hi	73.3	73.8
you	73.8	74.3
come	74.3	74.5
in	74.5	74.7
here	74.7	74.8
all	74.8	75.0
the	75.0	75.1
time.	75.1	75.4
I	75.4	75.7
was	75.7	75.8
just	75.8	75.9
wondering,	75.9	76.4
if	76.4	76.5
you	76.5	76.7
think	76.7	76.8
there's	76.8	77.0
a	77.0	77.1
possibility	77.1	77.3
that	77.3	77.8
you	77.8	78.0
could	78.0	78.1
give	78.1	78.4
me	78.4	78.4
an	78.4	78.6
advance	78.6	78.8
on	78.8	79.1
my	79.1	79.2
tips,	79.2	79.6
Before.	84.2	86.3
Play	88.6	89.0
9852	89.0	90.0
go,	90.0	90.3
you're	90.3	101.3
wrong.	101.3	101.7
I	103.5	103.8
am	103.8	104.0
not	104.0	104.2
wrong.	104.2	104.3
You're	104.3	105.0
wrong.	105.0	105.3
No,	107.2	107.8
I	107.8	108.1
just	108.1	108.2
talked	108.2	108.6
to	108.6	108.7
them.	108.7	109.0
I'm	110.8	111.1
calling	111.1	111.5
Mom.	111.5	111.8
Hey,	116.6	117.4
hey,	117.4	117.5
hey.	117.5	117.6
And	121.0	121.5
this	121.5	121.7
from	121.7	121.9
the	121.9	122.0
cry	122.0	122.2
for	122.2	122.3
Health	122.3	122.6
Department.	122.6	122.7
Are	122.7	124.0
you	124.0	124.1
wearing	124.1	124.4
makeup?	124.4	124.6
Siam.	127.5	128.4
As	128.4	128.6
of	128.6	128.7
today,	128.7	129.1
I	129.1	129.2
am	129.2	129.3
officially	129.3	129.6
Joey.	129.6	130.3
Tribbiani	130.3	130.9
actor	130.9	131.3
/	131.3	131.7
model.	131.7	132.4
Remodeling	140.4	141.5
for	141.5	141.7
don't,	141.7	142.1
you	142.1	142.2
know,	142.2	142.4
those	142.4	142.5
posters	142.5	143.0
for	143.0	143.1
the	143.1	143.2
city	143.2	143.6
free	143.6	143.8
clinic.	143.8	144.2
You	147.1	148.0
know	148.0	148.1
that?	148.1	148.3
You	151.1	151.4
know,	151.4	151.5
which	151.5	151.6
one	151.6	151.8
you're	151.8	151.8
going	151.8	151.9
to?	151.9	152.0
Well,	163.7	164.2
you	164.2	164.3
were	164.3	164.4
right.	164.4	164.8
How	164.8	165.2
can	165.2	165.5
they	165.5	165.6
do	165.6	165.8
this	165.8	165.9
to	165.9	166.1
us	166.1	166.3
on	166.3	166.6
Thanksgiving,	166.6	167.0
you	167.0	176.9
know,	176.9	177.0
they're	177.0	177.2
not	177.2	177.3
actually	177.3	177.6
supposed	177.6	178.2
to	178.2	178.3
work	178.3	179.5
on	179.5	179.7
the	179.7	179.8
left.	179.8	180.1
Do	181.9	182.4
what	182.4	182.5
you're	182.5	182.6
going	182.6	182.7
home,	182.7	183.0
right?	183.0	183.2
