word	start_time	end_time
What	3.2	3.6
is	3.6	4.3
sister	4.3	4.7
ugly	4.7	5.3
worm?	5.3	5.7
Go	7.5	9.1
pop	9.1	9.3
jiggly	9.3	9.7
Jammer.	9.7	10.0
It's	12.0	12.3
so	12.3	12.4
funny.	12.4	12.9
What's	12.9	16.0
this?	16.0	16.1
Pocket	17.4	18.3
sandwich	18.3	18.6
from	18.6	18.8
last	18.8	19.0
year.	19.0	19.2
It's	23.8	26.1
the	26.1	26.2
perfect	26.2	26.6
struggle	26.6	27.2
between	27.2	27.5
man.	27.5	28.1
Someone	31.6	32.1
knocked	32.1	32.4
over	32.4	32.5
a	32.5	32.7
lamp.	32.7	33.1
Should	35.1	35.4
I	35.4	35.5
let	35.5	35.6
you	35.6	35.8
guys	35.8	36.0
know	36.0	36.1
what's	36.1	36.3
going	36.3	36.3
to	36.3	36.4
be	36.4	36.5
great	36.5	36.9
about	36.9	37.0
the	37.0	37.2
fishing	37.2	37.5
trip	37.5	37.6
this	37.6	37.8
year,	37.8	38.0
when	38.0	38.6
my	38.6	38.7
dad	38.7	39.0
gets	39.0	39.2
me	39.2	39.3
out	39.3	39.3
in	39.3	39.4
the	39.4	39.5
middle	39.5	39.7
of	39.7	39.7
the	39.7	39.8
lake	39.8	40.0
and	40.0	40.1
gives	40.1	40.3
me	40.3	40.3
that	40.3	40.5
Joey.	40.5	40.8
What	40.8	41.0
are	41.0	41.0
you	41.0	41.1
doing	41.1	41.4
with	41.4	41.5
your	41.5	41.6
life	41.6	41.7
stuff?	41.7	42.2
I	42.2	42.3
can	42.3	42.5
say	42.5	42.7
well,	42.7	43.3
You	51.9	52.2
don't	52.2	52.5
have	52.5	52.7
to	52.7	52.8
stop	52.8	53.1
having	53.1	53.3
fun,	53.3	53.8
just	53.8	53.9
because	53.9	54.2
I'm	54.2	54.5
here.	54.5	54.7
Kathy	54.7	55.4
didn't	55.4	55.6
cheat	55.6	56.0
on	56.0	56.1
all	56.1	56.2
of	56.2	56.4
you.	56.4	56.6
well,	59.2	59.6
except	59.6	60.1
you	60.1	60.3
You	70.2	70.5
know	70.5	70.6
what	70.6	70.7
is	70.7	70.8
so	70.8	71.0
sweet.	71.0	71.4
Those	71.4	72.4
birds	72.4	72.7
not	72.7	73.1
left	73.1	73.3
his	73.3	73.4
side	73.4	73.5
the	73.5	73.8
whole	73.8	73.9
time.	73.9	74.1
Hey	77.7	78.1
Julie.	78.1	78.4
I	78.4	78.9
don't	78.9	79.1
think	79.1	79.2
that	79.2	79.3
you	79.3	79.4
should	79.4	79.4
leave	79.4	79.7
her	79.7	80.0
alone.	80.0	80.2
It's	80.2	80.9
only	80.9	81.0
been	81.0	81.1
two	81.1	81.3
days	81.3	81.3
since	81.3	81.5
he	81.5	81.7
broke	81.7	81.8
up	81.8	81.9
with	81.9	82.1
Kathy,	82.1	82.4
then	82.4	83.1
he	83.1	83.2
can	83.2	83.3
go	83.3	83.4
fishing	83.4	83.5
next	83.5	83.8
week.	83.8	84.1
I'll	90.3	91.3
be	91.3	91.4
back	91.4	91.6
for	91.6	91.7
face	91.7	91.9
2.	91.9	92.3
I	92.3	92.4
would	92.4	92.5
never	92.5	92.7
miss	92.7	93.0
bass	93.0	93.2
two.	93.2	93.4
What's	94.7	95.1
Phase	95.1	95.3
2	95.3	95.5
getting	95.5	96.4
drunk	96.4	96.7
and	96.7	96.8
go	96.8	97.0
to	97.0	97.1
a	97.1	97.2
strip	97.2	97.4
club.	97.4	97.5
Is	100.4	100.6
going	100.6	100.9
to	100.9	100.9
a	100.9	101.0
strip	101.0	101.4
club.	101.4	101.6
Make	101.6	102.1
him	102.1	102.3
better.	102.3	102.5
Oh	105.4	105.7
and	105.7	106.0
it	106.0	106.0
helps	106.0	106.2
and	106.2	106.3
get	106.3	106.4
the	106.4	106.5
face.	106.5	106.7
Three	106.7	107.0
picture	107.0	107.4
yourself	107.4	107.5
with	107.5	107.8
other	107.8	108.0
women	108.0	108.4
there	108.4	108.8
naked,	108.8	109.0
ladies	109.0	109.4
there	109.4	109.6
too.	109.6	109.8
Did	113.0	113.2
you	113.2	113.4
give	113.4	113.6
me	113.6	113.7
one	113.7	114.1
minute,	114.1	114.2
please?	114.2	114.7
These	126.8	127.2
will	127.2	127.4
match	127.4	127.5
the	127.5	127.7
jacket	127.7	127.9
picked	127.9	128.2
up	128.2	128.3
for	128.3	128.4
me	128.4	128.5
last	128.5	128.7
week.	128.7	128.8
There	130.4	130.9
we	130.9	131.1
go.	131.1	131.3
There	133.4	134.2
it	134.2	134.3
is.	134.3	134.4
What	134.4	136.8
I	136.8	136.9
need	136.9	137.2
