word	start_time	end_time
Fighting	9.0	9.8
always	9.8	10.4
find	10.4	10.8
someone	10.8	10.9
who's	10.9	11.3
never	11.3	11.4
seen	11.4	11.6
one	11.6	11.8
of	11.8	11.9
this	11.9	11.9
place	11.9	12.3
before	12.3	12.4
notice?	12.4	12.9
No	12.9	13.2
fear,	13.2	13.7
no	13.7	14.0
sense	14.0	14.4
of	14.4	14.5
impending,	14.5	14.7
doom.	14.7	15.1
We	22.4	23.1
came	23.1	23.3
on	23.3	23.4
the	23.4	23.6
wrong	23.6	23.8
night.	23.8	24.0
Life	29.6	30.0
is	30.0	30.2
good,	30.2	30.3
I	30.3	31.1
don't	31.1	31.3
know!	31.3	33.0
In	33.0	33.3
the	33.3	33.3
title,	33.3	33.7
scares	33.7	34.1
me,	34.1	34.3
you	34.3	34.4
know,	34.4	34.5
such	34.5	34.7
as	34.7	34.9
Freud.	34.9	35.2
Magic	38.0	38.6
is	38.6	38.7
about	38.7	38.9
to	38.9	39.1
happen.	39.1	39.4
That	40.9	41.7
Eva.	41.7	42.1
He's	43.2	43.6
done	43.6	44.0
some.	44.0	44.3
Excellent	44.3	45.2
work	45.2	45.8
here.	45.8	46.1
Call	55.4	55.9
Avante.	55.9	56.8
Wendy's.	59.8	60.7
Peel	102.9	107.4
the	107.4	107.5
skin	107.5	107.8
off	107.8	108.0
their	108.0	108.3
body	108.3	108.6
to	108.6	108.7
have	108.7	108.9
something	108.9	109.1
else	109.1	109.2
to	109.2	109.4
do	109.4	109.6
10:00.	109.6	116.7
there's	118.7	119.5
a	119.5	119.6
beautiful	119.6	119.8
woman	119.8	120.3
at	120.3	120.6
89	120.6	121.5
and	121.5	121.8
hello.	125.2	125.8
Women.	128.0	128.5
I	128.5	128.6
dream	128.6	129.0
about	129.0	129.1
look	129.1	129.4
like	129.4	129.6
short	129.6	130.0
fat,	130.0	130.4
bald	130.4	130.9
men.	130.9	131.1
What	133.4	135.9
would	135.9	136.1
my	136.1	136.1
opening	136.1	136.5
line	136.5	136.5
be?	136.5	136.9
Excuse	136.9	137.3
me?	137.3	137.5
We	143.2	143.6
could	143.6	143.8
she	143.8	143.9
be	143.9	144.1
more	144.1	144.4
out	144.4	144.6
of	144.6	144.6
my	144.6	144.8
league?	144.8	145.1
Bronze.	145.1	145.6
Back	145.6	145.9
me	145.9	146.1
