word	start_time	end_time
When	4.9	5.2
the	5.2	5.4
world,	5.4	5.6
huh?	5.6	5.9
Oh	5.9	6.7
yeah,	6.7	6.8
it	6.8	7.1
was	7.1	7.2
time	7.2	7.5
the	7.5	7.8
old	7.8	8.1
kind	8.1	8.4
of	8.4	8.5
ring	8.5	8.7
in	8.7	8.8
a	8.8	8.9
leather.	8.9	9.2
Just	9.2	9.4
doesn't	9.4	9.6
say	9.6	9.7
cool	9.7	9.9
anymore.	9.9	10.3
Rachel.	12.0	12.9
You	12.9	13.6
just	13.6	13.8
put	13.8	14.0
an	14.0	14.1
empty	14.1	14.3
carton	14.3	14.7
back	14.7	14.9
in	14.9	15.0
the	15.0	15.1
fridge.	15.1	15.3
Have	19.5	19.9
you	19.9	20.0
ever	20.0	20.2
taken	20.2	20.4
out	20.4	20.6
the	20.6	20.7
trash?	20.7	20.8
Yeah.	20.8	21.7
Since	21.7	24.3
you've	24.3	24.4
lived	24.4	24.5
here?	24.5	24.7
Well,	26.3	26.8
I	26.8	27.1
thought	27.1	28.1
you	28.1	28.6
liked	28.6	29.1
doing	29.1	29.6
it.	29.6	29.7
Third	34.1	34.6
door	34.6	34.8
on	34.8	35.0
the	35.0	35.1
left,	35.1	35.2
right?	35.2	35.6
Give	46.3	47.2
me	47.2	47.3
the	47.3	47.4
trigger.	47.4	47.7
What	65.4	67.5
are	67.5	67.6
you	67.6	67.7
doing?	67.7	67.9
sorry,	73.8	74.4
but	74.4	75.9
Sorry,	82.5	82.8
I	82.8	83.0
didn't,	83.0	83.2
I	83.2	83.4
don't	83.4	83.6
come	83.6	84.1
in	84.1	84.2
here.	84.2	84.3
All,	84.3	84.7
of	84.7	84.8
course	84.8	86.6
you	86.6	86.7
don't	86.7	86.9
because	86.9	87.4
you're	87.4	87.6
a	87.6	87.8
little	87.8	88.0
princess.	88.0	88.5
Daddy	90.2	90.8
find	90.8	91.0
me	91.0	91.1
a	91.1	91.2
pizza	91.2	91.4
Daddy.	91.4	92.1
Buy	92.1	92.4
me	92.4	92.5
a	92.5	92.6
candy	92.6	92.8
factory.	92.8	93.4
Can	98.2	98.6
just	98.6	99.8
come	99.8	100.1
in	100.1	100.2
here	100.2	100.4
and	100.4	101.9
the	101.9	102.1
well	102.1	104.9
why	104.9	105.1
don't	105.1	105.3
you	105.3	105.5
think	105.5	105.7
of	105.7	105.9
someone	105.9	106.1
else	106.1	106.4
for	106.4	106.8
a	106.8	106.9
change?	106.9	106.9
Gosh,	120.2	121.0
you're	121.0	121.4
going	121.4	121.6
to	121.6	121.7
cry	121.7	122.0
about	122.0	122.3
it.	122.3	122.6
But	130.9	133.8
won't	133.8	134.3
trigger	134.3	134.6
made	134.6	135.0
you	135.0	135.1
cry.	135.1	135.4
I'm	142.3	142.7
going	142.7	142.8
to	142.8	142.9
go	142.9	143.0
down	143.0	143.2
there	143.2	143.3
and	143.3	143.4
teach	143.4	143.6
that	143.6	143.8
guy	143.8	144.0
and	144.0	144.1
let's	144.1	144.4
