word	start_time	end_time
Hi,	5.6	6.2
my	6.2	6.8
name	6.8	6.8
is	6.8	7.0
Chandler.	7.0	7.4
I	7.4	7.5
just	7.5	7.8
moved	7.8	8.0
in	8.0	8.1
next	8.1	8.2
door	8.2	8.4
and	8.4	9.2
I	9.2	9.3
was	9.3	9.3
wanting	9.3	9.5
to	9.5	9.7
be	9.7	9.8
interested	9.8	10.0
in	10.0	10.2
battling	10.2	10.6
me	10.6	10.8
in	10.8	10.9
a	10.9	11.0
post-apocalyptic	11.0	11.3
world	11.3	11.9
for	11.9	12.4
control	12.4	12.8
of	12.8	12.9
the	12.9	13.0
Galaxy's	13.0	13.4
last	13.4	13.6
remaining	13.6	14.0
energy,	14.0	14.2
source.	14.2	14.9
Jordan.	16.6	17.3
No.	20.0	21.6
She's	21.6	21.9
at	21.9	22.1
dance	22.1	22.2
class	22.2	22.5
with	22.5	23.8
my	23.8	23.9
room.	23.9	24.1
Oh	31.0	31.4
my	31.4	31.7
God.	31.7	32.2
What	32.2	33.1
is	33.1	33.3
30	33.3	33.6
second	33.6	34.0
guy?	34.0	34.2
Never	34.2	34.5
lived	34.5	34.8
in	34.8	34.9
here?	34.9	35.2
You	36.6	37.0
got	37.0	37.1
to	37.1	37.2
be	37.2	37.3
careful.	37.3	37.5
This	37.5	38.0
girl	38.0	38.3
thing	38.3	38.5
is	38.5	38.6
dangerous.	38.6	38.9
It's	38.9	39.5
spreading	39.5	39.8
already.	39.8	40.3
Your	47.5	47.8
tiny	47.8	48.2
little	48.2	48.3
box	48.3	48.9
is	48.9	49.1
too	49.1	49.3
small	49.3	49.5
to	49.5	49.6
put	49.6	49.8
anything	49.8	50.0
in	50.0	50.2
his	50.2	57.0
place.	57.0	57.5
If	57.5	57.9
you	57.9	58.0
left	58.0	58.2
your	58.2	59.6
fingers,	59.6	60.0
soaking	60.0	60.4
stuff,	60.4	60.8
drying	61.7	66.1
big	66.1	66.6
brain.	66.6	67.2
I'll	70.0	71.0
talk	71.0	71.7
to	71.7	71.8
her.	71.8	71.9
Totally	83.1	83.6
different	83.6	83.8
situation.	83.8	84.1
A	95.2	95.6
way.	95.6	96.0
Weather.	107.3	107.6
Hey,	124.7	125.0
guys,	125.0	125.3
breakfast	125.3	126.7
with	126.7	127.0
Hillary.	127.0	127.4
Always	127.4	136.8
