word	start_time	end_time
pressure,	0.0	0.5
you	0.5	0.9
know,	0.9	1.0
starring	1.0	1.4
in	1.4	1.5
a	1.5	1.5
movie	1.5	1.6
and	1.6	2.0
all	2.0	2.1
Cybill	9.4	10.0
Shepherd.	10.0	10.0
Tell	13.7	14.7
you	14.7	14.9
guys	14.9	15.0
in	15.0	15.2
the	15.2	15.3
movie,	15.3	15.7
or	15.7	16.0
you	16.0	16.4
just	16.4	16.4
really	16.4	16.8
paranoid.	16.8	17.1
Excuse	23.2	23.8
me,	23.8	23.9
Jerry	23.9	24.8
is	24.8	25.0
the	25.0	25.1
director	25.1	25.7
which	25.7	26.5
one	26.5	26.6
is	26.6	26.7
he?	26.7	26.9
Gacha.	30.5	31.1
How	31.1	35.9
come	35.9	36.1
I'm	36.1	36.2
walking	36.2	36.5
with	36.5	36.6
you?	36.6	36.9
We	36.9	40.0
can	40.0	40.1
get	40.1	40.3
away	40.3	40.4
from	40.4	40.6
The	42.3	43.7
love	43.7	43.9
of	43.9	44.0
God	44.0	44.2
woman.	44.2	44.7
Listen	44.7	45.2
to	45.2	45.3
me.	45.3	45.5
We	54.9	55.3
got	55.3	55.4
a	55.4	55.5
problem	55.5	55.6
by	55.6	56.0
tell	56.0	56.8
me	56.8	56.9
I	56.9	57.8
can't	57.8	58.0
do	58.0	58.1
Christmas	58.1	58.4
makeup.	58.4	58.7
She	58.7	59.4
refuses	59.4	59.6
to	59.6	59.9
acknowledge	59.9	60.1
that	60.1	60.5
she	60.5	60.7
has	60.7	60.8
mustache.	60.8	61.4
Is	61.4	62.0
it	62.0	62.1
bad	62.1	62.5
to	62.5	62.8
look	62.8	62.9
like	62.9	63.1
in	63.1	63.2
your	63.2	63.2
eyebrows?	63.2	63.8
Fell	63.8	64.0
down	64.0	64.3
now	64.3	65.5
and	65.5	65.6
let	65.6	67.3
me	67.3	67.3
bleach	67.3	67.6
it	67.6	67.9
John	67.9	68.3
Claude	68.3	68.6
Van	68.6	68.6
Damme's	68.6	69.0
going	69.0	69.2
to	69.2	69.2
make	69.2	69.5
me	69.5	69.6
out	69.6	69.6
Gabe	69.6	70.0
Kaplan	70.0	70.4
Talk	71.7	72.2
to	72.2	72.3
her.	72.3	72.4
I	73.7	74.0
had	74.0	74.4
a	74.4	76.6
camouflage	76.6	77.3
man	77.3	77.6
for	77.6	78.2
a	78.2	78.2
minute	78.2	78.4
there.	78.4	78.5
I	78.5	78.6
almost	78.6	78.7
didn't	78.7	79.0
see	79.0	79.2
you.	79.2	79.4
Is	86.8	88.0
your	88.0	88.1
name	88.1	88.2
Chandler?	88.2	88.5
Yes.	88.5	89.9
Yes,	89.9	90.0
it	90.0	90.4
is.	90.4	90.6
Chandler	90.6	91.6
Bing.	91.6	91.9
Do	91.9	92.9
you	92.9	93.0
know	93.0	93.2
me?	93.2	93.5
Or	93.5	93.6
are	93.6	94.1
you	94.1	94.2
just	94.2	94.3
really	94.3	94.5
good	94.5	94.8
at	94.8	94.9
this	94.9	95.1
game?	95.1	95.1
And	95.1	96.4
fourth	96.4	98.2
grade	98.2	98.4
classes,	98.4	99.8
East	99.8	100.8
Carolina	100.8	101.2
box	101.2	101.4
of	101.4	101.6
animal	101.6	101.8
crackers,	101.8	102.3
like	102.3	102.4
a	102.4	102.6
purse,	102.6	102.9
great	102.9	110.0
job.	110.0	110.5
It's	110.5	112.4
nice	112.4	112.7
to	112.7	112.8
see,	112.8	112.9
you're	112.9	113.1
not	113.1	113.1
still	113.1	113.4
wearing	113.4	113.7
that	113.7	113.7
denim	113.7	114.4
cap	114.4	114.8
with	114.8	114.9
all	114.9	115.0
the	115.0	115.1
little	115.1	115.2
mirrors	115.2	115.7
on	115.7	115.8
it	115.8	115.9
and	115.9	116.1
realized	116.1	118.5
I	118.5	118.6
wasn't	118.6	118.9
a	118.9	119.0
pimp.	119.0	119.4
Remember	120.6	121.1
to	121.1	121.2
cosplay	121.2	121.7
but	121.7	122.6
you	122.6	122.9
you	122.9	123.1
pulled	123.1	123.3
up	123.3	123.4
my	123.4	123.5
skirt	123.5	123.8
in	123.8	124.0
the	124.0	124.1
entire	124.1	124.3
auditoriums	124.3	125.1
on	125.1	125.3
my	125.3	125.4
Underpants.	125.4	126.0
Thank	126.0	133.3
God.	133.3	133.5
I	133.5	133.6
don't	133.6	133.7
do	133.7	133.8
that	133.8	133.9
anymore.	133.9	134.1
What	139.6	139.9
have	139.9	140.0
you	140.0	140.1
been	140.1	140.2
doing	140.2	140.5
since	140.5	140.6
childhood?	140.6	141.2
I	141.2	142.9
got	142.9	143.2
a	143.2	143.3
new	143.3	143.4
bell.	143.4	143.7
I	145.1	145.6
wondered.	145.6	146.0
Oh	150.9	151.1
my	151.1	151.2
God.	151.2	151.5
Oh	151.5	151.6
my	151.6	151.6
God.	151.6	151.9
