word	start_time	end_time
There's	18.6	19.2
nothing	19.2	19.4
to	19.4	19.6
tell	19.6	19.8
just	19.8	21.4
some	21.4	21.5
guy	21.5	21.7
I	21.7	21.8
work	21.8	22.1
with	22.1	22.4
has	22.4	25.4
got	25.4	25.5
to	25.5	25.6
be	25.6	25.6
something	25.6	26.1
wrong	26.1	26.2
with	26.2	26.5
them.	26.5	26.7
Kelly	28.2	28.7
be	28.7	28.8
nice.	28.8	29.1
So,	30.1	30.4
does	30.4	30.6
he	30.6	30.6
have	30.6	30.8
a	30.8	30.9
hump	30.9	31.1
hump	31.1	31.4
and	31.4	31.5
a	31.5	31.6
hairpiece?	31.6	31.9
Wait,	34.4	34.9
since	34.9	35.0
he	35.0	35.2
eat	35.2	35.4
chalk	35.4	35.8
cuz	35.8	37.5
I	37.5	37.6
don't	37.6	37.8
want	37.8	38.1
her	38.1	38.2
to	38.2	38.2
go	38.2	38.4
through	38.4	38.6
what	38.6	38.7
I	38.7	38.9
went	38.9	39.0
through	39.0	39.2
with	39.2	39.4
Carl.	39.4	39.9
Relax.	42.5	43.2
This	43.2	43.2
is	43.2	43.4
not	43.4	43.6
even	43.6	43.7
a	43.7	43.9
date,	43.9	44.0
it	44.0	44.6
is	44.6	44.6
not.	44.6	45.0
It's	45.0	45.1
just	45.1	45.2
two	45.2	45.5
people	45.5	45.7
going	45.7	45.9
out	45.9	46.1
to	46.1	46.2
dinner	46.2	46.3
and	46.3	46.7
not	46.7	47.3
having	47.3	47.6
sex.	47.6	47.7
High	54.7	55.1
School	55.1	55.3
standing	55.3	55.7
in	55.7	55.8
the	55.8	55.9
middle	55.9	56.0
of	56.0	56.1
the	56.1	56.1
cafeteria.	56.1	56.4
And	56.4	57.0
I	57.0	57.1
realize	57.1	57.8
I	57.8	57.9
am	57.9	58.1
totally	58.1	58.5
naked.	58.5	60.0
Then	62.6	63.2
I	63.2	63.3
looked	63.3	63.7
down	63.7	63.7
and	63.7	64.0
I	64.0	64.2
realized	64.2	64.7
there	64.7	64.9
was	64.9	65.0
a	65.0	65.1
phone.	65.1	65.6
There.	66.5	67.9
Instead	71.2	71.9
of	71.9	72.0
all	72.0	75.4
of	75.4	75.5
a	75.5	75.6
sudden,	75.6	76.0
the	76.0	76.2
phone	76.2	76.6
starts	76.6	78.0
to	78.0	78.1
ring	78.1	78.4
looking	78.4	83.6
at	83.6	83.7
you	83.7	83.8
before.	83.8	84.0
Finally,	86.5	87.1
I	87.1	87.2
figured	87.2	87.4
I'd	87.4	87.9
better	87.9	88.0
answer	88.0	88.3
it.	88.3	88.6
And	90.4	90.8
it	90.8	90.9
turns	90.9	91.2
out	91.2	91.3
it's	91.3	91.6
my	91.6	91.8
mother.	91.8	92.2
which	94.0	94.3
is	94.3	94.5
very,	94.5	94.7
very	94.7	95.0
weird	95.0	95.7
because	95.7	95.9
She	96.9	97.4
never	97.4	97.6
called.	97.6	98.0
This	108.1	108.5
guy	108.5	108.7
says	108.7	108.9
hello.	108.9	109.2
I	109.2	109.3
want	109.3	109.5
to	109.5	109.6
kill	109.6	109.8
myself.	109.8	110.4
Carol	123.7	124.3
of	124.3	124.4
yourself	124.4	124.7
out	124.7	124.8
today.	124.8	125.2
Oh	131.2	131.8
no,	131.8	133.7
don't	133.7	134.3
stop.	134.3	134.9
Cleansing	134.9	135.6
my	135.6	135.8
aura.	135.8	136.3
Gmarket.	139.2	141.7
You	151.0	151.2
never	151.2	151.4
knew	151.4	151.6
she	151.6	151.8
was	151.8	151.9
a	151.9	152.0
lesbian.	152.0	152.1
Know	156.7	157.3
what	157.3	159.6
is	159.6	159.8
everyone	159.8	160.4
keep	160.4	160.5
fixating	160.5	161.4
on	161.4	161.5
that?	161.5	161.9
How	163.5	164.8
should	164.8	165.1
I	165.1	165.2
know?	165.2	165.3
Sometimes	168.4	168.9
I	168.9	169.0
wish	169.0	169.2
I	169.2	169.3
was	169.3	169.5
a	169.5	169.6
lesbian.	169.6	169.8
Did	172.7	173.1
I	173.1	173.2
say	173.2	173.4
that	173.4	173.6
out	173.6	173.6
loud?	173.6	173.8
I	177.3	177.6
told	177.6	178.0
Mom	178.0	178.2
and	178.2	178.3
Dad	178.3	178.4
last	178.4	178.9
night,	178.9	179.0
they	179.0	179.4
seemed	179.4	179.9
to	179.9	180.0
take	180.0	180.2
it	180.2	180.4
pretty	180.4	180.6
well.	180.6	180.8
So	180.8	182.6
that	182.6	182.7
is	182.7	182.9
the	182.9	189.4
phone	189.4	189.5
number	189.5	189.8
for	189.8	190.1
Ross.	190.1	193.1
Look,	193.1	193.6
you	193.6	194.5
feeling	194.5	194.9
a	194.9	194.9
lot	194.9	195.0
of	195.0	195.2
pain	195.2	195.4
right	195.4	195.6
now,	195.6	195.8
you're	195.8	196.7
angry.	196.7	197.0
Strip	201.4	202.1
joint.	202.1	202.8
Come	205.1	205.4
on	205.4	205.5
his	205.5	205.8
single	205.8	206.4
have	206.4	206.6
some	206.6	206.8
phone	206.8	207.2
calls	207.2	207.3
to	207.3	208.0
be	208.0	210.2
single	210.2	210.6
again.	210.6	213.2
And	218.4	218.9
I	218.9	219.1
just	219.1	219.5
want	219.5	219.8
a	219.8	219.9
million	219.9	220.1
dollars.	220.1	220.8
Rachel	226.1	226.8
Allgood	226.8	227.8
Monster	227.8	228.4
High.	228.4	228.7
I	228.7	230.5
just	230.5	230.7
sent	230.7	230.9
your	230.9	231.0
building	231.0	231.3
and	231.3	231.4
you	231.4	231.5
weren't	231.5	231.8
there.	231.8	231.9
And	231.9	232.1
then	232.1	232.3
this	232.3	232.4
guy	232.4	232.7
with	232.7	232.8
a	232.8	232.9
big	232.9	233.1
hammer	233.1	233.5
said	233.5	233.7
that	233.7	233.9
you	233.9	233.9
might	233.9	234.1
be	234.1	234.2
here	234.2	234.4
and	234.4	234.6
you	234.6	234.7
are	234.7	235.2
you	235.2	235.3
are,	235.3	235.8
can	235.8	236.3
I	236.3	236.4
get	236.4	236.6
you	236.6	236.8
some	236.8	237.0
coffee?	237.0	237.1
Hey	240.5	240.7
everybody.	240.7	241.1
This	241.1	241.4
is	241.4	241.7
Rachel	241.7	242.2
in	242.2	242.3
another	242.3	243.2
Lincoln	243.2	243.4
high	243.4	243.6
Survivor.	243.6	244.2
This	244.2	244.4
is	244.4	244.5
everybody	244.5	245.1
from	245.1	245.4
Chandler	245.4	245.8
and	245.8	246.0
Phoebe	246.0	246.6
and	246.6	247.1
Joey.	247.1	247.4
And	247.4	248.2
remember	248.2	248.6
my	248.6	248.8
brother	248.8	249.1
Ross?	249.1	249.4
Do	260.6	261.0
you	261.0	261.1
want	261.1	261.3
to	261.3	261.3
tell	261.3	261.5
us	261.5	261.6
now?	261.6	261.8
Or	261.8	262.2
are	262.2	262.6
we	262.6	262.8
waiting	262.8	263.0
for	263.0	263.0
for	263.0	263.3
wet	263.3	263.5
Bridesmaids?	263.5	264.2
Well,	266.5	267.7
it	267.7	268.8
started	268.8	269.0
about	269.0	269.3
a	269.3	269.5
half	269.5	269.7
hour	269.7	269.9
before	269.9	270.1
the	270.1	270.3
wedding.	270.3	270.6
I	270.6	271.7
was	271.7	271.8
in	271.8	272.0
this	272.0	272.0
room	272.0	272.2
where	272.2	272.5
we	272.5	272.6
were	272.6	272.7
keeping	272.7	272.9
all	272.9	273.1
the	273.1	273.2
presents,	273.2	273.8
and	273.8	274.5
I	274.5	274.7
was	274.7	274.8
looking	274.8	274.9
at	274.9	275.2
this	275.2	275.3
crazy,	275.3	275.6
but	275.6	275.9
it's	275.9	277.0
really	277.0	277.3
the	277.3	278.8
most	278.8	279.2
rated	279.2	279.5
food.	279.5	279.7
I	285.7	286.0
realize	286.0	286.3
that	286.3	286.4
I	286.4	286.5
was	286.5	286.6
more	286.6	287.0
turned	287.0	287.3
on	287.3	287.3
by	287.3	287.6
this	287.6	287.7
really	287.7	288.0
both	288.0	288.3
and	288.3	288.5
Byberry	288.5	288.7
and	288.7	290.0
I	290.0	290.2
got	290.2	290.3
really	290.3	290.5
freaked	290.5	291.0
out	291.0	291.1
and	291.1	291.8
that's	291.8	292.0
when	292.0	292.1
it	292.1	292.2
hit	292.2	292.3
me.	292.3	292.5
How	292.5	293.1
much.	293.1	293.4
Looks	293.4	293.7
like	293.7	293.8
mr.	293.8	294.1
