word	start_time	end_time
Are	1.9	2.3
you	2.3	2.4
going	2.4	2.6
to	2.6	2.7
babe's?	2.7	3.2
Who	3.2	4.1
else	4.1	4.3
wants?	4.3	4.4
One	4.4	4.6
of	4.6	4.7
my	4.7	4.8
special	4.8	5.2
homemade	5.2	5.4
brownies?	5.4	6.4
I	6.4	6.9
will	6.9	7.2
have	7.2	7.4
I'm	9.8	10.3
not	10.3	10.4
going	10.4	10.6
to	10.6	10.6
have	10.6	10.7
one	10.7	10.9
of	10.9	11.0
them.	11.0	11.1
Song.	12.9	13.5
So	13.5	13.7
it's	13.7	14.0
just	14.0	14.1
my	14.1	14.3
tooth.	14.3	14.8
So	18.2	18.6
what's	18.6	18.8
the	18.8	18.9
matter?	18.9	19.0
You	19.0	19.3
need	19.3	19.5
a	19.5	19.5
dentist.	19.5	20.0
I've	20.0	20.2
got	20.2	20.3
a	20.3	20.4
good	20.4	20.5
one.	20.5	20.8
A	21.7	21.9
good	21.9	22.1
one,	22.1	22.2
too.	22.2	22.4
I	22.4	22.6
just,	22.6	22.8
I	22.8	23.0
I	23.0	23.1
can't	23.1	24.1
see	24.1	24.5
him.	24.5	24.7
Not	28.7	29.1
very	29.1	29.5
unsettling	29.5	30.1
to	30.1	30.3
see	30.3	30.4
all	30.4	30.5
those	30.5	30.6
metal	30.6	31.0
tools	31.0	31.5
just	31.5	31.8
you	31.8	32.0
know,	32.0	32.1
lying	32.1	33.2
around.	33.2	33.4
Why	35.5	36.6
won't	36.6	36.9
you	36.9	37.2
go	37.2	37.3
to	37.3	37.4
him?	37.4	37.5
Every	39.9	40.2
time	40.2	40.5
I	40.5	40.7
go	40.7	40.9
to	40.9	40.9
the	40.9	41.1
dentist,	41.1	41.2
somebody	41.2	42.0
dies.	42.0	42.3
That	44.0	44.4
is	44.4	44.6
so	44.6	44.8
weird.	44.8	45.0
Because	45.0	45.4
every	45.4	45.7
time	45.7	45.9
I	45.9	46.0
go	46.0	46.2
to	46.2	46.3
the	46.3	46.4
dentist,	46.4	46.6
I	46.6	46.9
look	46.9	47.6
down.	47.6	47.7
The	47.7	47.9
hygienist	47.9	48.2
Full	48.2	48.4
House.	48.4	48.6
What?	52.7	53.1
cuz	54.7	55.0
my	55.0	55.1
Aunt	55.1	55.4
Mary	55.4	55.7
and	55.7	56.2
then	56.2	56.5
there	56.5	56.8
was	56.8	56.9
John	56.9	57.5
my	57.5	57.7
mailman	57.7	58.3
and	58.3	58.7
then	58.7	59.0
might	59.0	59.2
my	59.2	59.3
cowboy	59.3	59.7
friend	59.7	60.0
albino	60.0	60.5
Bob,	60.5	60.7
Are	62.4	62.8
all	62.8	63.0
these	63.0	63.1
people	63.1	63.3
actually	63.3	63.7
died	63.7	64.4
while	64.4	65.5
I	65.5	65.6
was	65.6	65.7
in	65.7	65.9
the	65.9	66.1
chair.	66.1	66.3
That's	66.3	67.4
why	67.4	67.6
I	67.6	67.6
take	67.6	67.8
such	67.8	68.0
good	68.0	68.1
care	68.1	68.3
of	68.3	68.5
my	68.5	68.6
teeth.	68.6	69.0
Now,	69.0	69.2
you	69.2	69.4
know	69.4	69.5
what	69.5	69.6
I	69.6	69.8
meant?	69.8	69.9
Oral	69.9	70.3
hygiene,	70.3	70.8
I	70.8	70.9
floss	70.9	71.3
to	71.3	71.5
save	71.5	71.7
live.	71.7	72.1
You	74.1	74.6
didn't	74.6	74.9
kill	74.9	75.3
anybody.	75.3	75.7
These	75.7	76.0
people	76.0	76.3
just	76.3	76.3
happened	76.3	77.3
to	77.3	77.4
die	77.4	77.6
when	77.6	77.9
you	77.9	78.0
went	78.0	78.2
to	78.2	78.2
the	78.2	78.3
dentist.	78.3	78.5
It's	78.5	79.2
just	79.2	79.4
a	79.4	80.1
coincidence.	80.1	80.4
Thanks	94.8	95.3
company.	95.3	95.7
Hey,	107.3	107.7
would	107.7	108.0
you	108.0	108.1
just	108.1	108.3
go	108.3	108.7
to	108.7	109.2
the	109.2	109.3
dentist?	109.3	109.8
Just	109.8	109.9
go.	109.9	110.3
But	112.1	112.4
if	112.4	112.5
you're	112.5	112.7
