word	start_time	end_time
I	2.4	4.1
don't	4.1	4.8
think	4.8	5.0
a	5.0	5.0
four-letter	5.0	5.5
word	5.5	5.6
for	5.6	5.8
ship	5.8	6.2
can	6.2	6.5
be	6.5	6.6
ship.	6.6	7.0
That	10.6	11.0
was	11.0	11.1
a	11.1	11.2
freebie.	11.2	11.5
Hello.	18.6	19.0
What's	20.8	21.4
this?	21.4	21.6
All	21.6	22.7
right.	22.7	23.2
It's	23.2	23.6
that	23.6	23.7
girl's	23.7	24.1
phone	24.1	24.3
number.	24.3	24.4
There	28.5	28.8
it	28.8	29.5
is.	29.5	29.6
Just	29.6	30.3
the	30.3	30.4
phone	30.4	31.2
number	31.2	31.3
of	31.3	31.7
really	31.7	32.1
hot	32.1	33.1
girl.	33.1	33.3
Gave	33.3	33.8
me	33.8	33.9
no	33.9	36.6
big	36.6	36.8
deal.	36.8	36.8
I	36.8	37.3
mean,	37.3	37.4
it	37.4	37.7
is	37.7	37.8
her	37.8	38.0
home	38.0	38.6
phone	38.6	38.9
number	38.9	39.4
but	39.4	39.9
Whoa.	44.7	45.2
What?	45.2	48.4
Whoops,	48.4	49.0
his	49.0	50.9
baby.	50.9	51.3
I	52.7	52.9
had	52.9	53.2
a	53.2	53.3
lovely	53.3	53.5
Amanda,	53.5	54.4
gives	54.4	54.8
me	54.8	55.0
her	55.0	55.2
number	55.2	55.8
and	55.8	55.9
I,	55.9	56.1
I	56.1	56.2
go	56.2	56.9
and	56.9	57.0
drop	57.0	57.4
it.	57.4	57.5
Thank	66.3	66.7
you,	66.7	66.9
sweetie.	66.9	67.2
Rachel	77.0	77.7
Hunter	77.7	79.1
birthday.	79.1	79.6
I'm	79.6	82.5
just	82.5	82.7
making	82.7	82.9
a	82.9	83.0
list	83.0	83.1
of	83.1	83.2
people's	83.2	83.5
birthdays.	83.5	83.9
Oh,	91.4	91.7
she's	91.7	92.2
pretty,	92.2	92.5
pretty	92.5	93.2
pretty	93.2	94.1
girl,	94.1	94.5
the	94.5	94.7
pretty,	94.7	94.9
she's	94.9	95.2
pretty.	95.2	95.5
What's	99.3	100.6
the	100.6	100.7
worst	100.7	100.9
thing	100.9	101.1
that	101.1	101.2
can	101.2	101.3
happen?	101.3	101.4
I	101.4	101.8
could	101.8	102.1
die.	102.1	102.3
It's,	103.8	104.7
it's	104.7	105.0
tough	105.0	105.3
being	105.3	105.5
single.	105.5	106.1
That's	106.1	106.8
why	106.8	107.1
I'm	107.1	107.3
so	107.3	107.5
glad	107.5	107.7
I	107.7	107.9
found	107.9	108.0
Amanda.	108.0	108.7
Went	111.8	112.3
out.	112.3	112.5
Once	112.5	113.0
you	113.0	113.8
took	113.8	114.0
your	114.0	114.2
kids	114.2	114.3
to	114.3	114.7
Chuck-E-Cheese	114.7	115.6
and	115.6	115.8
you	115.8	115.9
didn't	115.9	116.2
even	116.2	116.3
kiss	116.3	116.6
her.	116.6	116.9
I	121.5	121.8
tell	121.8	122.1
people	122.1	122.3
Secrets	122.3	122.6
it	122.6	123.3
makes	123.3	124.7
them	124.7	124.9
like	124.9	125.2
me.	125.2	125.5
Well	127.7	128.2
I'm	128.2	128.4
going	128.4	128.6
to	128.6	128.7
stay	128.7	129.0
in,	129.0	129.8
finally.	129.8	130.8
It's	130.8	131.3
nice	131.3	131.8
to	131.8	132.0
be	132.0	132.1
in	132.1	132.3
a	132.3	132.4
mature	132.4	132.7
relationship.	132.7	133.7
You	142.0	146.6
shouldn't	146.6	146.9
play	146.9	147.1
in	147.1	148.3
bed	148.3	148.5
and	148.5	148.6
stay	148.6	148.8
there	148.8	149.0
but	149.0	149.8
my	149.8	151.7
music	151.7	151.9
is	151.9	152.5
all	152.5	152.7
I	152.7	152.8
really	152.8	153.1
have	153.1	153.4
now	153.4	153.6
but	153.6	154.5
music	154.5	154.7
and	154.7	155.4
making	155.4	155.6
my	155.6	155.8
own	155.8	155.9
shoes,	155.9	156.3
really?	156.3	156.8
Huh?	156.8	157.0
All	163.2	163.5
right.	163.5	163.8
I'm	163.8	164.2
going	164.2	164.2
to	164.2	164.3
do	164.3	164.4
it,	164.4	165.3
go	165.3	165.6
get	165.6	165.7
shot	165.7	166.0
down.	166.0	166.1
Any	167.9	168.4
advice	168.4	168.6
for	168.6	169.4
yourself,	169.4	169.9
but	169.9	170.8
not	170.8	171.0
too	171.0	171.2
much.	171.2	171.4
Wish	174.6	175.0
me	175.0	175.1
