word	start_time	end_time
Check	1.9	4.8
this	4.8	4.9
out.	4.9	5.1
You	5.1	5.4
are	5.4	5.5
not	5.5	5.7
going	5.7	5.9
to	5.9	6.0
believe	6.0	6.1
this.	6.1	7.5
We	7.5	7.7
know	7.7	7.9
they	7.9	8.1
have	8.1	8.2
magazines	8.2	8.5
with	8.5	9.0
pictures	9.0	9.2
of	9.2	9.4
naked	9.4	9.7
women	9.7	9.8
in	9.8	10.1
them.	10.1	10.4
I	15.1	15.4
made	15.4	15.6
a	15.6	15.7
joke	15.7	15.9
and	15.9	16.4
sent	16.4	16.7
it	16.7	16.8
into	16.8	17.0
Playboy,	17.0	17.5
they	17.5	18.4
printed	18.4	18.7
it.	18.7	18.9
I	21.6	21.9
didn't	21.9	22.1
know,	22.1	22.2
Playboy	22.2	22.7
Prince	22.7	22.8
jokes,	22.8	23.5
jokes	23.5	24.7
interviews,	24.7	25.7
hard-hitting,	25.7	26.5
journalism.	26.5	27.2
It's	27.2	27.5
not	27.5	27.6
just	27.6	28.0
about	28.0	28.1
the	28.1	28.4
pictures.	28.4	29.0
It	32.6	33.0
was	33.0	33.2
your	33.2	33.3
check	33.3	33.5
it	33.5	33.7
out.	33.7	33.8
It's	33.8	34.0
the	34.0	34.3
first	34.3	34.7
one	34.7	34.9
to	34.9	35.0
It's	38.2	41.2
funny.	41.2	41.6
He	41.6	41.9
was	41.9	42.1
also	42.1	42.3
funny	42.3	42.7
when	42.7	42.7
I	42.7	42.9
made	42.9	43.2
it	43.2	43.3
up.	43.3	43.4
What?	46.0	46.5
I	46.5	47.0
made	47.0	47.3
that	47.3	47.5
choked	47.5	47.8
up.	47.8	48.0
Who	61.8	62.2
what?	62.2	62.6
I	63.3	63.7
was	63.7	63.9
just	63.9	64.1
reading	64.1	64.3
the	64.3	64.4
joke	64.4	64.7
below.	64.7	65.0
It	65.0	65.3
did,	65.3	65.4
that	65.4	65.7
one	65.7	65.9
is	65.9	66.0
funny.	66.0	66.3
you	69.1	70.1
remember	70.1	70.4
me	70.4	70.5
telling	70.5	70.6
you	70.6	70.8
that	70.8	70.9
joke	70.9	71.2
right	71.2	71.5
now,	71.5	73.0
Trailer	78.3	78.9
is	78.9	79.2
my	79.2	79.5
joke	79.5	80.0
but	80.0	80.2
hey,	80.2	80.5
if	80.5	80.9
it	80.9	81.1
makes	81.1	81.5
you	81.5	81.6
feel	81.6	81.7
any	81.7	82.0
better,	82.0	82.2
they	82.2	82.5
don't	82.5	82.8
fit	82.8	83.0
the	83.0	83.2
name.	83.2	83.6
So	83.6	83.8
it	83.8	83.9
doesn't	83.9	84.2
really	84.2	84.4
matter	84.4	84.7
who	84.7	85.0
gets	85.0	85.2
credit.	85.2	85.5
Call	92.4	92.9
the	92.9	93.0
bill	93.0	93.2
tell	93.2	93.4
you	93.4	93.6
jokes.	93.6	97.1
Do	97.5	98.6
guys	98.6	98.9
know	98.9	99.0
they	99.0	99.3
have	99.3	99.5
naked	99.5	99.7
chicks	99.7	100.1
on	100.1	100.2
that,	100.2	100.4
right?	100.4	100.7
Weather.	123.3	123.7
You've	142.3	142.8
got	142.8	143.0
to	143.0	143.2
turn	143.2	143.3
on	143.3	143.4
Behind	143.4	143.8
the	143.8	143.9
Music,	143.9	144.3
the	144.3	144.6
band	144.6	145.0
heart	145.0	145.3
is	145.3	145.5
having	145.5	145.7
a	145.7	145.8
really	145.8	146.0
tough	146.0	146.1
time	146.1	146.4
and	146.4	146.7
I	146.7	146.8
think	146.8	147.0
they	147.0	147.1
may	147.1	147.2
break	147.2	147.4
out.	147.4	147.6
We	155.4	156.5
should	156.5	156.7
do	156.7	156.8
you	156.8	157.4
and	157.4	157.6
I	157.6	157.7
should	157.7	157.9
go	157.9	158.0
out	158.0	158.2
and	158.2	158.3
get	158.3	158.5
some	158.5	158.7
new	158.7	158.8
sunglasses.	158.8	159.2
What	161.2	161.6
do	161.6	162.2
I	162.2	162.3
want	162.3	162.8
to	162.8	162.8
watch	162.8	163.0
this?	163.0	163.3
is	166.3	166.6
your	166.6	166.8
