episode	scene	segment	onset	offset	duration	descriptor	caption	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	ONbond_end	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Pheob_Rach	loc_coffeeshop	loc_outside	loc_other
s1e14b	1	1	0.0	11.0	11.0	end of previous		False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s1e14b	2	2	11.0	97.0	86.0	girls do their ritual		True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False
s1e14b	3	3	97.0	111.0	14.0	J w C talk about breaking up w Janis		True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False
s1e14b	3	4	111.0	134.0	23.0	Janis arrives at coffee shop		False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False
s1e14b	4	5	134.0	180.0	46.0	R doesn't listen to Kristin		True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True
s1e14b	4	6	180.0	221.0	41.0	Carol's girlfriend leaves		False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s1e14b	4	7	221.0	260.0	39.0	R invites Carol to join them		False	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s1e14b	5	8	260.0	329.0	69.0	The firefighters extinguished the fire of the ritual !		True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False
s1e14b	6	9	329.0	451.0	122.0	C tries to break up w Janis		True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False
s1e14b	6	10	451.0	462.0	11.0	Janis leaves the coffee shop		False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False
s1e14b	7	11	462.0	593.0	131.0	only R + Carol are left at the resto		True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
s1e14b	7	12	593.0	649.0	56.0	R + Carol kiss		False	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s1e14b	8	13	649.0	705.0	56.0	girls flirt w firefighters		True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False
s1e14b	8	14	705.0	723.0	18.0	firefighters leave the apartment		False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False
