episode	scene	segment	onset	offset	duration	raw_descriptor	caption_eng	caption_fr	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Phoeb_Rach	loc_coffeeshop	loc_outside	loc_other
s4e07b	1	1	0.0	58.0	58.0	end of previous	end of scene	fin de scène	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False
s4e07b	2	2	58.0	61.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e07b	3	3	61.0	155.0	94.0		Phoebe doesn't want to play anymore because Ross is fantastic, but Monica and Rachel admit to her that she sucks too.	Phoebe ne veut plus jouer parce que Ross est fantastique, mais Monica et Rachel lui avoue qu'elle aussi est nulle.	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False
s4e07b	4	4	155.0	158.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e07b	5	5	158.0	239.0	81.0		Chandler has bought some new furniture and Joey tells him that he has decided to stay exclusive with Kathy.	Chandler a acheté du nouveau mobilier et Joey a décidé lui annonce qu'il a décidé de rester exclusif avec Kathy.	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False
s4e07b	6	6	239.0	242.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e07b	7	7	242.0	307.0	65.0		Phoebe encourages Ross to continue performing his music.	Phoebe encourage Ross de continuer à performer sa musique.	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False
s4e07b	8	8	307.0	310.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e07b	9	9	310.0	317.0	7.0		Rachel refuses an invitation from Guy.	Rachel refuse une invitation de Guy.	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False
s4e07b	9	10	317.0	354.0	37.0		Monica asks her why she turned him down and tells him she wants to do something alone with herself.	Monica lui demande pourquoi elle a refusé et lui répond parce qu'elle veut faire quelque chose seule avec elle-même.	False	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False
s4e07b	9	11	354.0	423.0	69.0		Chandler confesses to the gang that he kissed Kathy and he has to tell Joey.	Chandler avoue à la gang qu'il a embrassé Kathy et il doit le dire à Joey.	False	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False
s4e07b	10	12	423.0	440.0	17.0		Rachel is alone at the restaurant and talks to herself inside about how she would like to finally have someone with her.	Rachel est seule au restaurant et se parle intérieurement en se disant qu'elle aimerait finalement être accompagnée.	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s4e07b	10	13	440.0	465.0	25.0		She runs into Guy and offers to meet him next weekend, but he tells himself not to call her back because she is eating alone.	Elle croise Guy et lui propose de ce voir le week-end prochain, mais il se dit dans sa tête de ne pas la rappeler parce qu'elle mange seule.	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True
s4e07b	11	14	465.0	661.0	196.0		Chandler admits to Joey that he kissed Kathy and Joey is furious with him; Kathy broke up with him the same day.	Chandler avoue à Joey qu'il a embrassé Kathy et Joey est furieux contre lui ; Kathy a rompu avec lui le même jour.	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False
s4e07b	12	15	661.0	732.0	71.0		Ross pretends that he played his last play badly so that Phoebe will agree to sing after him.	Ross fait croire qu'il a mal joué sa dernière pièce pour que Phoebe accepte de chanter après lui.	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False
