episode	scene	segment	onset	offset	duration	raw_descriptor	caption_eng	caption_fr	ONbond_location	ONbond_charact_entry	ONbond_charact_leave	ONbond_time_jump	ONbond_goal_change	ONbond_music_transit	ONbond_theme_song	OFFbond_location	OFFbond_charact_entry	OFFbond_charact_leave	OFFbond_time_jump	OFFbond_goal_change	OFFbond_music_transit	OFFbond_theme_song	OFFbond_end	loc_apt1_Mon_Rach	loc_apt2_Chan_Joey	loc_apt3_Ross	loc_apt4_Phoeb_Rach	loc_coffeeshop	loc_outside	loc_other
s4e09a	1	1	0.0	4.0	4.0	transition	transition	transition	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False
s4e09a	2	2	4.0	50.0	46.0		Monica and Phoebe have bought a particular valve for their work.	Monica et Phoebe ont acheté une vanne particulière pour leur travail.	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False
s4e09a	3	3	50.0	58.0	8.0	theme song	theme song	chanson thème	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
s4e09a	4	4	58.0	60.0	2.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e09a	5	5	60.0	95.0	35.0		Monica received a great first food review.	Monica a reçu une excellente première critique culinaire.	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False
s4e09a	5	6	95.0	184.0	89.0		Chandler tells Ross that Mike Gandalf will be in town to party.	Chandler annonce à Ross que Mike Gandalf sera en ville pour faire la fête.	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False
s4e09a	6	7	184.0	187.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e09a	7	8	187.0	262.0	75.0		Rachel asks Joanna if she can interview with upper management for an assistant job.	Rachel demande à Joanna si elle peut passer une entrevue avec les hauts dirigeants pour un emploi d'assistante.	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s4e09a	8	9	262.0	264.0	2.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e09a	9	10	264.0	285.0	21.0		Chandler paces back and forth because he is overexcited about Mike Gandalf coming.	Chandler fait les cent pas parce qu'il est surexcité de la venue de Mike Gandalf.	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False
s4e09a	9	11	285.0	313.0	28.0		Ross has brought some stuff he'll need for the party and Joey is going to join them after his audition.	Ross a apporté des trucs qu'il aura besoin pour faire la fête et Joey va les rejoindre après son audition.	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	True	False	False	False	False	False
s4e09a	9	12	313.0	343.0	30.0		Mike cancels their party because he is stuck in Chicago.	Mike annule leur party parce qu'il est coincé à Chicago.	False	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False
s4e09a	10	13	343.0	347.0	4.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e09a	11	14	347.0	420.0	73.0		Joanna discredits Rachel in front of the higher-ups.	Joanna a discrédité Rachel devant les hauts dirigeants.	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True
s4e09a	12	15	420.0	423.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e09a	13	16	423.0	473.0	50.0		Monica shows Phoebe her first food review which is in the paper.	Monica montre à Phoebe sa première critique culinaire qui se trouve dans le journal.	True	False	False	True	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	False	False	False
s4e09a	13	17	473.0	506.0	33.0		Allesandro shows up at Monica's house to tell her about her review.	Allesandro se présente chez Monica pour lui parler de sa critique. 	False	False	True	False	True	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False
s4e09a	14	18	506.0	509.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e09a	15	19	509.0	569.0	60.0		Monica explains to Allesandro how to cook a good tomato cocktail.	Monica explique à Allesandro comment cuisiner un bon cocktail aux tomates.	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False
s4e09a	16	20	569.0	572.0	3.0	transition	transition	transition	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False
s4e09a	17	21	572.0	607.0	35.0		Rachel tells Joanna that she is sad and angry that she trashed him in front of the senior staff.	Rachel dit à Joanna qu'elle est triste et fâchée qu'elle l'a démoli devant les hauts dirigeants.	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True
s4e09a	17	22	607.0	620.0	13.0		Joanna asks Sophie to come and see that Rachel is making a scene and that it makes her uncomfortable.	Joanna demande à Sophie de venir constater que Rachel fait une scène et que ça la met mal à l'aise.	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True
s4e09a	17	23	620.0	650.0	30.0		Rachel resigns from her position, but Joanna explains that she did it to keep her in her department and offers her anything she wants.	Rachel démissionne de son poste, mais Joanna lui explique qu'elle a fait ça pour la garder dans son département et lui offre tout ce qu'elle veut. 	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True
