season	episode	scene	utterance	speaker	transcript	tokens	emotion
s03	e08	c01	u002	['Rachel Green']	Here you go Pheebs. Who else wants one of my special homemade brownies?	[['Here', 'you', 'go', 'Pheebs', '.'], ['Who', 'else', 'wants', 'one', 'of', 'my', 'special', 'homemade', 'brownies', '?']]	Joyful
s03	e08	c01	u003	['Chandler Bing']	I will have one.	[['I', 'will', 'have', 'one', '.']]	Peaceful
s03	e08	c01	u005	['Chandler Bing']	Okay, I'm not gonna have one.	"[['Okay', ',', 'I', ""'m"", 'not', 'gon', 'na', 'have', 'one', '.']]"	Peaceful
s03	e08	c01	u006	['Ross Geller']	Neither will I.	[['Neither', 'will', 'I.']]	Peaceful
s03	e08	c01	u007	['Phoebe Buffay']	No, no, it's just my tooth.	"[['No', ',', 'no', ',', 'it', ""'s"", 'just', 'my', 'tooth', '.']]"	Mad
s03	e08	c01	u008	['Chandler Bing']	All right I'll have one.	"[['All', 'right', 'I', ""'ll"", 'have', 'one', '.']]"	Joyful
s03	e08	c01	u009	['Ross Geller']	So what's a matter, you need a dentist? I've got a good one.	"[['So', 'what', ""'s"", 'a', 'matter', ',', 'you', 'need', 'a', 'dentist', '?'], ['I', ""'ve"", 'got', 'a', 'good', 'one', '.']]"	Peaceful
s03	e08	c01	u010	['Phoebe Buffay']	No thanks, I have a good one too. I just, I, I can't see him.	"[['No', 'thanks', ',', 'I', 'have', 'a', 'good', 'one', 'too', '.'], ['I', 'just', ',', 'I', ',', 'I', 'ca', ""n't"", 'see', 'him', '.']]"	Scared
s03	e08	c01	u011	['Chandler Bing']	See that is the problem with invisible dentists.	[['See', 'that', 'is', 'the', 'problem', 'with', 'invisible', 'dentists', '.']]	Joyful
s03	e08	c01	u012	['Ross Geller']	Why? Why can't you go to him?	"[['Why', '?'], ['Why', 'ca', ""n't"", 'you', 'go', 'to', 'him', '?']]"	Scared
s03	e08	c01	u013	['Phoebe Buffay']	Because, every time I go to the dentist, somebody dies.	[['Because', ',', 'every', 'time', 'I', 'go', 'to', 'the', 'dentist', ',', 'somebody', 'dies', '.']]	Scared
s03	e08	c01	u014	['Chandler Bing']	That is so weird, because every time I go to the dentist, I look down the hygienist's blouse.	"[['That', 'is', 'so', 'weird', ',', 'because', 'every', 'time', 'I', 'go', 'to', 'the', 'dentist', ',', 'I', 'look', 'down', 'the', 'hygienist', ""'s"", 'blouse', '.']]"	Scared
s03	e08	c01	u015	['Rachel Green']	Phoebe, what? Umm...what?!	[['Phoebe', ',', 'what', '?'], ['Umm', '...'], ['what', '?!']]	Scared
s03	e08	c01	u016	['Phoebe Buffay']	Yeah, yeah, first there was my aunt Mary, and then there was umm, John, my mailman, and then my, my cowboy friend 'Albino Bob'.	"[['Yeah', ',', 'yeah', ',', 'first', 'there', 'was', 'my', 'aunt', 'Mary', ',', 'and', 'then', 'there', 'was', 'umm', ',', 'John', ',', 'my', 'mailman', ',', 'and', 'then', 'my', ',', 'my', 'cowboy', 'friend', ""'"", 'Albino', 'Bob', ""'"", '.']]"	Scared
s03	e08	c01	u017	['Rachel Green']	And all these people actually died?	[['And', 'all', 'these', 'people', 'actually', 'died', '?']]	Scared
