season	episode	scene	utterance	speaker	transcript	tokens	emotion
s01	e02	c01	u001	['Monica Geller']	What you guys don't understand is, for us, kissing is as important as any part of it.	"[['What', 'you', 'guys', 'do', ""n't"", 'understand', 'is', ',', 'for', 'us', ',', 'kissing', 'is', 'as', 'important', 'as', 'any', 'part', 'of', 'it', '.']]"	Joyful
s01	e02	c01	u002	['Joey Tribbiani']	Yeah, right!.......Y'serious?	"[['Yeah', ',', 'right', '!'], ['.......'], [""Y'serious"", '?']]"	Neutral
s01	e02	c01	u003	['Phoebe Buffay']	Oh, yeah!	[['Oh', ',', 'yeah', '!']]	Joyful
s01	e02	c01	u004	['Rachel Green']	Everything you need to know is in that first kiss.	[['Everything', 'you', 'need', 'to', 'know', 'is', 'in', 'that', 'first', 'kiss', '.']]	Powerful
s01	e02	c01	u005	['Monica Geller']	Absolutely.	[['Absolutely', '.']]	Powerful
s01	e02	c01	u006	['Chandler Bing']	Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.	"[['Yeah', ',', 'I', 'think', 'for', 'us', ',', 'kissing', 'is', 'pretty', 'much', 'like', 'an', 'opening', 'act', ',', ""y'know"", '?'], ['I', 'mean', 'it', ""'s"", 'like', 'the', 'stand', '-', 'up', 'comedian', 'you', 'have', 'to', 'sit', 'through', 'before', 'Pink', 'Floyd', 'comes', 'out', '.']]"	Joyful
s01	e02	c01	u007	['Ross Geller']	Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.	"[['Yeah', ',', 'and', '-', 'and', 'it', ""'s"", 'not', 'that', 'we', 'do', ""n't"", 'like', 'the', 'comedian', ',', 'it', ""'s"", 'that', '-', 'that', '...'], ['that', ""'s"", 'not', 'why', 'we', 'bought', 'the', 'ticket', '.']]"	Neutral
s01	e02	c01	u008	['Chandler Bing']	The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.	"[['The', 'problem', 'is', ',', 'though', ',', 'after', 'the', 'concert', ""'s"", 'over', ',', 'no', 'matter', 'how', 'great', 'the', 'show', 'was', ',', 'you', 'girls', 'are', 'always', 'looking', 'for', 'the', 'comedian', 'again', ',', ""y'know"", '?'], ['I', 'mean', ',', 'we', ""'re"", 'in', 'the', 'car', ',', 'we', ""'re"", 'fighting', 'traffic', '...'], ['basically', 'just', 'trying', 'to', 'stay', 'awake', '.']]"	Mad
s01	e02	c01	u009	['Rachel Green']	Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.	"[['Yeah', ',', 'well', ',', 'word', 'of', 'advice', ':', 'Bring', 'back', 'the', 'comedian', '.'], ['Otherwise', 'next', 'time', 'you', ""'re"", 'gon', 'na', 'find', 'yourself', 'sitting', 'at', 'home', ',', 'listening', 'to', 'that', 'album', 'alone', '.']]"	Sad
s01	e02	c01	u010	['Joey Tribbiani']	....Are we still talking about sex?	[['....'], ['Are', 'we', 'still', 'talking', 'about', 'sex', '?']]	Joyful
s01	e02	c02	u001	['Ross Geller']	No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?	"[['No', ',', 'it', ""'s"", 'good', ',', 'it', 'is', 'good', ',', 'it', ""'s"", 'just', 'that', '-', 'mm', '-', 'does', ""n't"", 'she', 'seem', 'a', 'little', 'angry', '?']]"	Scared
s01	e02	c02	u002	['Marsha']	Well, she has issues.	[['Well', ',', 'she', 'has', 'issues', '.']]	Sad
s01	e02	c02	u003	['Ross Geller']	Does she.	[['Does', 'she', '.']]	Scared
s01	e02	c02	u004	['Marsha']	He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!	"[['He', ""'s"", 'out', 'banging', 'other', 'women', 'over', 'the', 'head', 'with', 'a', 'club', ',', 'while', 'she', 'sits', 'at', 'home', 'trying', 'to', 'get', 'the', 'mastodon', 'smell', 'out', 'of', 'the', 'carpet', '!']]"	Mad
s01	e02	c02	u005	['Ross Geller']	Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?	"[['Marsha', ',', 'these', 'are', 'cave', 'people', '.'], ['Okay', '?'], ['They', 'have', 'issues', 'like', ""'"", 'Gee', ',', 'that', 'glacier', ""'s"", 'getting', 'kinda', 'close', '.'], [""'"", 'See', '?']]"	Neutral
s01	e02	c02	u006	['Marsha']	Speaking of issues, isn't that your ex-wife?	"[['Speaking', 'of', 'issues', ',', 'is', ""n't"", 'that', 'your', 'ex-wife', '?']]"	Mad
s01	e02	c02	u008	['Ross Geller']	No. No.	[['No', '.'], ['No', '.']]	Scared
s01	e02	c02	u009	['Marsha']	Yes, it is. Carol! Hi!	[['Yes', ',', 'it', 'is', '.'], ['Carol', '!'], ['Hi', '!']]	Joyful
s01	e02	c02	u010	['Ross Geller']	Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.	"[['Okay', ',', 'okay', ',', 'yes', ',', 'it', 'is', '.'], ['How', 'about', 'I', ""'ll"", ',', 'uh', ',', 'catch', 'up', 'with', 'you', 'in', 'the', 'Ice', 'Age', '.']]"	Scared
s01	e02	c02	u012	['Ross Geller']	Hi.	[['Hi', '.']]	Neutral
s01	e02	c02	u013	['Carol Willick']	So.	[['So', '.']]	Neutral
s01	e02	c02	u014	['Ross Geller']	You look great. I, uh... I hate that.	[['You', 'look', 'great', '.'], ['I', ',', 'uh', '...'], ['I', 'hate', 'that', '.']]	Scared
s01	e02	c02	u015	['Carol Willick']	Sorry. You look good too.	[['Sorry', '.'], ['You', 'look', 'good', 'too', '.']]	Joyful
s01	e02	c02	u016	['Ross Geller']	Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...	"[['Ah', ',', 'well', ',', 'in', 'here', ',', 'anyone', 'who', '...'], ['stands', 'erect', '...'], ['So', 'what', ""'s"", 'new', '?'], ['Still', ',', 'uh', '...']]"	Joyful
s01	e02	c02	u017	['Carol Willick']	A lesbian?	[['A', 'lesbian', '?']]	Neutral
s01	e02	c02	u018	['Ross Geller']	Well... you never know. How's, um.. how's the family?	"[['Well', '...'], ['you', 'never', 'know', '.'], ['How', ""'s"", ',', 'um', '..'], ['how', ""'s"", 'the', 'family', '?']]"	Peaceful
s01	e02	c02	u019	['Carol Willick']	Marty's still totally paranoid. Oh, and, uh-	"[['Marty', ""'s"", 'still', 'totally', 'paranoid', '.'], ['Oh', ',', 'and', ',', 'uh', '-']]"	Mad
s01	e02	c02	u020	['Ross Geller']	Why- why are you here, Carol?	[['Why', '-', 'why', 'are', 'you', 'here', ',', 'Carol', '?']]	Scared
s01	e02	c02	u021	['Carol Willick']	I'm pregnant.	"[['I', ""'m"", 'pregnant', '.']]"	Neutral
s01	e02	c02	u022	['Ross Geller']	Pregnant?!	[['Pregnant', '?!']]	Scared
s01	e02	c06	u001	['Ross Geller']	Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.	"[['Sorry', 'I', ""'m"", 'late', ',', 'I', 'was', 'stuck', 'at', 'work', '.'], ['There', 'was', 'this', 'big', 'dinosaur', '..'], ['thing', '..'], ['anyway', '.']]"	Neutral
s01	e02	c06	u003	['Susan Bunch']	Hi.	[['Hi', '.']]	Neutral
s01	e02	c06	u004	['Carol Willick']	Ross, you remember Susan.	[['Ross', ',', 'you', 'remember', 'Susan', '.']]	Neutral
s01	e02	c06	u005	['Ross Geller']	How could I forget?	[['How', 'could', 'I', 'forget', '?']]	Mad
s01	e02	c06	u006	['Susan Bunch']	Ross.	[['Ross', '.']]	Neutral
s01	e02	c06	u007	['Ross Geller']	Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?	"[['Hello', ',', 'Susan', '.'], ['Good', 'shake', '.'], ['Good', 'shake', '.'], ['So', ',', 'uh', ',', 'we', ""'re"", 'just', 'waiting', 'for', '...?']]"	Neutral
s01	e02	c06	u008	['Carol Willick']	Dr. Oberman.	[['Dr.', 'Oberman', '.']]	Neutral
s01	e02	c06	u009	['Ross Geller']	..Dr. Oberman. Okay. And is he-	[['..'], ['Dr.', 'Oberman', '.'], ['Okay', '.'], ['And', 'is', 'he', '-']]	Neutral
s01	e02	c06	u010	['Susan Bunch']	She.	[['She', '.']]	Neutral
s01	e02	c06	u011	['Ross Geller']	-she, of course, she- uh- familiar with our.. special situation?	[['-', 'she', ',', 'of', 'course', ',', 'she', '-', 'uh', '-', 'familiar', 'with', 'our', '..'], ['special', 'situation', '?']]	Neutral
s01	e02	c06	u012	['Carol Willick']	Yes, and she's very supportive.	"[['Yes', ',', 'and', 'she', ""'s"", 'very', 'supportive', '.']]"	Neutral
s01	e02	c06	u013	['Ross Geller']	Okay, that's great. No, I'm- Oh.	"[['Okay', ',', 'that', ""'s"", 'great', '.'], ['No', ',', 'I', ""'m"", '-', 'Oh', '.']]"	Neutral
s01	e02	c06	u014	['Carol Willick']	Thanks.	[['Thanks', '.']]	Neutral
s01	e02	c06	u015	['Ross Geller']	Quack, quack..	[['Quack', ',', 'quack', '..']]	Joyful
s01	e02	c06	u016	['Carol Willick']	Ross? That opens my cervix.	[['Ross', '?'], ['That', 'opens', 'my', 'cervix', '.']]	Scared
s01	e02	c07	u001	['Rachel Green']	Barry?	[['Barry', '?']]	Neutral
s01	e02	c07	u002	['Barry Farber']	C'mon in.	"[[""C'mon"", 'in.']]"	Neutral
s01	e02	c07	u003	['Rachel Green']	Are you sure?	[['Are', 'you', 'sure', '?']]	Scared
s01	e02	c07	u004	['Barry Farber']	Yeah! It's fine, it's fine. Robbie's gonna be here for hours.	"[['Yeah', '!'], ['It', ""'s"", 'fine', ',', 'it', ""'s"", 'fine', '.'], ['Robbie', ""'s"", 'gon', 'na', 'be', 'here', 'for', 'hours', '.']]"	Neutral
s01	e02	c07	u005	['Robbie']	Huh?!	[['Huh', '?!']]	Scared
s01	e02	c07	u006	['Barry Farber']	So, how ya doin?	[['So', ',', 'how', 'ya', 'doin', '?']]	Peaceful
s01	e02	c07	u007	['Rachel Green']	I'm- uh- I'm okay... You look great!	"[['I', ""'m"", '-', 'uh', '-', 'I', ""'m"", 'okay', '...'], ['You', 'look', 'great', '!']]"	Sad
s01	e02	c07	u008	['Barry Farber']	Yeah, well..	[['Yeah', ',', 'well', '..']]	Neutral
s01	e02	c07	u009	['Bernice']	Dr. Farber, Jason Greenstein's gagging.	"[['Dr.', 'Farber', ',', 'Jason', 'Greenstein', ""'s"", 'gagging', '.']]"	Neutral
s01	e02	c07	u010	['Barry Farber']	Be right there. Be back in a sec.	[['Be', 'right', 'there', '.'], ['Be', 'back', 'in', 'a', 'sec', '.']]	Neutral
s01	e02	c07	u012	['Rachel Green']	I dumped him.	[['I', 'dumped', 'him', '.']]	Sad
s01	e02	c07	u013	['Robbie']	Okay.	[['Okay', '.']]	Neutral
s01	e02	c08	u001	['Ross Geller']	So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?	"[['So', ',', 'um', '-', 'so', 'how', ""'s"", 'this', ',', 'uh', ',', 'how', ""'s"", 'this', 'gon', 'na', 'work', '?'], [""Y'know"", ',', 'with', 'us', '?'], [""Y'know"", ',', 'when', ',', 'like', ',', 'important', 'decisions', 'have', 'to', 'be', 'made', '?']]"	Scared
s01	e02	c08	u002	['Carol Willick']	Give me a 'for instance'.	"[['Give', 'me', 'a', ""'"", 'for', 'instance', ""'"", '.']]"	Mad
s01	e02	c08	u003	['Ross Geller']	Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?	"[['Well', ',', 'uh', ',', 'uh', ',', 'I', 'do', ""n't"", 'know', ',', 'okay', ',', 'okay', ',', 'how', 'about', 'with', 'the', ',', 'uh', ',', 'with', 'the', 'baby', ""'s"", 'name', '?']]"	Scared
s01	e02	c08	u004	['Carol Willick']	Marlon-	[['Marlon', '-']]	Powerful
s01	e02	c08	u005	['Ross Geller']	Marlon?!	[['Marlon', '?!']]	Mad
s01	e02	c08	u006	['Carol Willick']	-if it's a boy, Minnie if it's a girl.	"[['-', 'if', 'it', ""'s"", 'a', 'boy', ',', 'Minnie', 'if', 'it', ""'s"", 'a', 'girl', '.']]"	Powerful
s01	e02	c08	u007	['Ross Geller']	...As in Mouse?	[['...'], ['As', 'in', 'Mouse', '?']]	Mad
s01	e02	c08	u008	['Carol Willick']	As in my grandmother.	[['As', 'in', 'my', 'grandmother', '.']]	Neutral
s01	e02	c08	u009	['Ross Geller']	Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?	[['Still', ',', 'you', '-', 'you', 'say', 'Minnie', ',', 'you', 'hear', 'Mouse', '.'], ['Um', ',', 'how', 'about', ',', 'um', '..'], ['how', 'about', 'Julia', '?']]	Scared
s01	e02	c08	u010	['Carol Willick']	Julia..	[['Julia', '..']]	Neutral
s01	e02	c08	u011	['Susan Bunch']	We agreed on Minnie.	[['We', 'agreed', 'on', 'Minnie', '.']]	Powerful
s01	e02	c08	u012	['Ross Geller']	'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?	"[[""'"", ""S'funny"", ',', 'um', ',', 'uh', ',', 'we', 'agreed', 'we', ""'d"", 'spend', 'the', 'rest', 'of', 'our', 'lives', 'together', '.'], ['Things', 'change', ',', 'roll', 'with', 'the', 'punches', '.'], ['I', 'believe', 'Julia', ""'s"", 'on', 'the', 'table', '..?']]"	Powerful
s01	e02	c09	u001	['Barry Farber']	Sorry about that. So. What have you been up to?	[['Sorry', 'about', 'that', '.'], ['So', '.'], ['What', 'have', 'you', 'been', 'up', 'to', '?']]	Neutral
s01	e02	c09	u002	['Rachel Green']	Oh, not much. I-I got a job.	[['Oh', ',', 'not', 'much', '.'], ['I', '-', 'I', 'got', 'a', 'job', '.']]	Scared
s01	e02	c09	u003	['Barry Farber']	Oh, that's great.	"[['Oh', ',', 'that', ""'s"", 'great', '.']]"	Joyful
s01	e02	c09	u004	['Rachel Green']	Why are- why are you so tanned?	[['Why', 'are', '-', 'why', 'are', 'you', 'so', 'tanned', '?']]	Scared
s01	e02	c09	u005	['Barry Farber']	Oh, I, uh- I went to Aruba.	[['Oh', ',', 'I', ',', 'uh', '-', 'I', 'went', 'to', 'Aruba', '.']]	Scared
s01	e02	c09	u006	['Rachel Green']	Oh no. You went on our honeymoon alone?	[['Oh', 'no', '.'], ['You', 'went', 'on', 'our', 'honeymoon', 'alone', '?']]	Mad
s01	e02	c09	u007	['Barry Farber']	No. I went with, uh.. Now, this may hurt.	[['No', '.'], ['I', 'went', 'with', ',', 'uh', '..'], ['Now', ',', 'this', 'may', 'hurt', '.']]	Neutral
s01	e02	c09	u008	['Robbie']	Me?!	[['Me', '?!']]	Neutral
s01	e02	c09	u009	['Barry Farber']	No! I went with Mindy.	[['No', '!'], ['I', 'went', 'with', 'Mindy', '.']]	Scared
s01	e02	c09	u010	['Rachel Green']	Mindy?! My maid of honour, Mindy?!	[['Mindy', '?!'], ['My', 'maid', 'of', 'honour', ',', 'Mindy', '?!']]	Mad
s01	e02	c09	u011	['Barry Farber']	Yeah, well, uh, we're kind of a thing now.	"[['Yeah', ',', 'well', ',', 'uh', ',', 'we', ""'re"", 'kind', 'of', 'a', 'thing', 'now', '.']]"	Scared
s01	e02	c09	u012	['Rachel Green']	Oh! Well, um.. You've got plugs!	"[['Oh', '!'], ['Well', ',', 'um', '..'], ['You', ""'ve"", 'got', 'plugs', '!']]"	Mad
s01	e02	c09	u013	['Barry Farber']	Careful! They haven't quite taken yet.	"[['Careful', '!'], ['They', 'have', ""n't"", 'quite', 'taken', 'yet', '.']]"	Mad
s01	e02	c09	u014	['Rachel Green']	And you've got lenses! But you hate sticking your finger in your eye!	"[['And', 'you', ""'ve"", 'got', 'lenses', '!'], ['But', 'you', 'hate', 'sticking', 'your', 'finger', 'in', 'your', 'eye', '!']]"	Mad
s01	e02	c09	u015	['Barry Farber']	Not for her. Listen, I really wanted to thank you.	[['Not', 'for', 'her', '.'], ['Listen', ',', 'I', 'really', 'wanted', 'to', 'thank', 'you', '.']]	Peaceful
s01	e02	c09	u016	['Rachel Green']	Okay..	[['Okay', '..']]	Mad
s01	e02	c09	u017	['Barry Farber']	See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.	"[['See', ',', 'about', 'a', 'month', 'ago', ',', 'I', 'wanted', 'to', 'hurt', 'you', '.'], ['More', 'than', 'I', ""'ve"", 'ever', 'wanted', 'to', 'hurt', 'anyone', 'in', 'my', 'life', '.'], ['And', 'I', ""'m"", 'an', 'orthodontist', '.']]"	Neutral
s01	e02	c09	u018	['Rachel Green']	Wow.	[['Wow', '.']]	Scared
s01	e02	c09	u019	['Barry Farber']	You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.	"[['You', 'know', ',', 'you', 'were', 'right', '?'], ['I', 'mean', ',', 'I', 'thought', 'we', 'were', 'happy', '.'], ['We', 'were', ""n't"", 'happy', '.'], ['But', 'with', 'Mindy', ',', 'now', 'I', ""'m"", 'happy', '.'], ['Spit', '.']]"	Joyful
s01	e02	c09	u020	['Rachel Green']	What?	[['What', '?']]	Scared
s01	e02	c09	u021	['Robbie']	Me.	[['Me', '.']]	Sad
s01	e02	c09	u022	['Rachel Green']	Anyway, um, I guess this belongs to you. And thank you for giving it to me.	[['Anyway', ',', 'um', ',', 'I', 'guess', 'this', 'belongs', 'to', 'you', '.'], ['And', 'thank', 'you', 'for', 'giving', 'it', 'to', 'me', '.']]	Sad
s01	e02	c09	u023	['Barry Farber']	Well, thank you for giving it back.	[['Well', ',', 'thank', 'you', 'for', 'giving', 'it', 'back', '.']]	Sad
s01	e02	c09	u025	['Robbie']	Hello?!	[['Hello', '?!']]	Scared
s01	e02	c10	u001	['Susan Bunch']	Oh, please! What's wrong with Helen?	"[['Oh', ',', 'please', '!'], ['What', ""'s"", 'wrong', 'with', 'Helen', '?']]"	Mad
