season	episode	scene	utterance	speaker	transcript	tokens	emotion
s01	e07	c03	u001	['Rachel Green']	Wow, this is so cool, you guys. The entire city is blacked out!	[['Wow', ',', 'this', 'is', 'so', 'cool', ',', 'you', 'guys', '.'], ['The', 'entire', 'city', 'is', 'blacked', 'out', '!']]	Joyful
s01	e07	c03	u002	['Monica Geller']	Mom says it's all of Manhattan, parts of Brooklyn and Queens, and they have no idea when it's coming back on.	"[['Mom', 'says', 'it', ""'s"", 'all', 'of', 'Manhattan', ',', 'parts', 'of', 'Brooklyn', 'and', 'Queens', ',', 'and', 'they', 'have', 'no', 'idea', 'when', 'it', ""'s"", 'coming', 'back', 'on', '.']]"	Scared
s01	e07	c03	u003	['Rachel Green']	Wow, you guys, this is big.	[['Wow', ',', 'you', 'guys', ',', 'this', 'is', 'big', '.']]	Joyful
s01	e07	c03	u004	['Monica Geller']	Pants and a sweater? Why, mom? Who am I gonna meet in a blackout? Power company guys? Eligible looters? Could we talk about this later? OK.	[['Pants', 'and', 'a', 'sweater', '?'], ['Why', ',', 'mom', '?'], ['Who', 'am', 'I', 'gon', 'na', 'meet', 'in', 'a', 'blackout', '?'], ['Power', 'company', 'guys', '?'], ['Eligible', 'looters', '?'], ['Could', 'we', 'talk', 'about', 'this', 'later', '?'], ['OK', '.']]	Mad
s01	e07	c03	u005	['Phoebe Buffay']	Can I borrow the phone? I want to call my apartment and check on my grandma. What's my number?	"[['Can', 'I', 'borrow', 'the', 'phone', '?'], ['I', 'want', 'to', 'call', 'my', 'apartment', 'and', 'check', 'on', 'my', 'grandma', '.'], ['What', ""'s"", 'my', 'number', '?']]"	Scared
s01	e07	c03	u007	['Phoebe Buffay']	Well, I never call me.	[['Well', ',', 'I', 'never', 'call', 'me', '.']]	Neutral
s01	e07	c04	u001	['Chandler Bing']	Oh my God, it's that Victoria's Secret model. Something... something Goodacre.	"[['Oh', 'my', 'God', ',', 'it', ""'s"", 'that', 'Victoria', ""'s"", 'Secret', 'model', '.'], ['Something', '...'], ['something', 'Goodacre', '.']]"	Joyful
s01	e07	c04	u002	['Jill Goodacre']	Hi Mom, it's Jill.	"[['Hi', 'Mom', ',', 'it', ""'s"", 'Jill', '.']]"	Neutral
s01	e07	c04	u003	['Chandler Bing']	She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre! Is it a vestibule? Maybe it's an atrium. Oh, yeah, that is the part to focus on, you idiot!	"[['She', ""'s"", 'right', ',', 'it', ""'s"", 'Jill', '.'], ['Jill', 'Goodacre', '.'], ['Oh', 'my', 'God', '.'], ['I', 'am', 'trapped', 'in', 'an', 'ATM', 'vestibule', 'with', 'Jill', 'Goodacre', '!'], ['Is', 'it', 'a', 'vestibule', '?'], ['Maybe', 'it', ""'s"", 'an', 'atrium', '.'], ['Oh', ',', 'yeah', ',', 'that', 'is', 'the', 'part', 'to', 'focus', 'on', ',', 'you', 'idiot', '!']]"	Scared
s01	e07	c04	u004	['Jill Goodacre']	Yeah, I'm fine. I'm just stuck at the bank, in an ATM vestibule.	"[['Yeah', ',', 'I', ""'m"", 'fine', '.'], ['I', ""'m"", 'just', 'stuck', 'at', 'the', 'bank', ',', 'in', 'an', 'ATM', 'vestibule', '.']]"	Neutral
s01	e07	c04	u005	['Chandler Bing']	Jill says vestibule... I'm going with vestibule.	"[['Jill', 'says', 'vestibule', '...'], ['I', ""'m"", 'going', 'with', 'vestibule', '.']]"	Neutral
s01	e07	c04	u006	['Jill Goodacre']	I'm fine. No, I'm not alone... I don't know, some guy.	"[['I', ""'m"", 'fine', '.'], ['No', ',', 'I', ""'m"", 'not', 'alone', '...'], ['I', 'do', ""n't"", 'know', ',', 'some', 'guy', '.']]"	Neutral
s01	e07	c04	u007	['Chandler Bing']	Oh! Some guy. Some guy. 'Hey Jill, I saw you with some guy last night. Yes, he was some guy.	"[['Oh', '!'], ['Some', 'guy', '.'], ['Some', 'guy', '.'], [""'"", 'Hey', 'Jill', ',', 'I', 'saw', 'you', 'with', 'some', 'guy', 'last', 'night', '.'], ['Yes', ',', 'he', 'was', 'some', 'guy', '.']]"	Joyful
s01	e07	c05	u001	['Joey Tribbiani']	Hi everyone.	[['Hi', 'everyone', '.']]	Neutral
s01	e07	c05	u002	['Ross Geller']	And officiating at tonight's blackout, is Rabbi Tribbiani.	"[['And', 'officiating', 'at', 'tonight', ""'s"", 'blackout', ',', 'is', 'Rabbi', 'Tribbiani', '.']]"	Neutral
s01	e07	c05	u003	['Joey Tribbiani']	Well, Chandler's old roomate was Jewish, and these are the only candles we have, so... Happy Chanukah, everyone.	"[['Well', ',', 'Chandler', ""'s"", 'old', 'roomate', 'was', 'Jewish', ',', 'and', 'these', 'are', 'the', 'only', 'candles', 'we', 'have', ',', 'so', '...'], ['Happy', 'Chanukah', ',', 'everyone', '.']]"	Joyful
s01	e07	c05	u004	['Phoebe Buffay']	Eww, look. Ugly Naked Guy lit a bunch of candles.	[['Eww', ',', 'look', '.'], ['Ugly', 'Naked', 'Guy', 'lit', 'a', 'bunch', 'of', 'candles', '.']]	Mad
s01	e07	c05	u006	['Rachel Green']	That had to hurt!	[['That', 'had', 'to', 'hurt', '!']]	Sad
s01	e07	c06	u001	['Chandler Bing']	Alright, alright, alright. It's been fourteen and a half minutes and you still have not said one word. Oh God, do something. Just make contact, smile!	"[['Alright', ',', 'alright', ',', 'alright', '.'], ['It', ""'s"", 'been', 'fourteen', 'and', 'a', 'half', 'minutes', 'and', 'you', 'still', 'have', 'not', 'said', 'one', 'word', '.'], ['Oh', 'God', ',', 'do', 'something', '.'], ['Just', 'make', 'contact', ',', 'smile', '!']]"	Joyful
s01	e07	c06	u003	['Chandler Bing']	There you go!	[['There', 'you', 'go', '!']]	Joyful
s01	e07	c06	u005	['Chandler Bing']	You're definitely scaring here.	"[['You', ""'re"", 'definitely', 'scaring', 'here', '.']]"	Scared
