season	episode	scene	utterance	speaker	transcript	tokens	emotion	ID
s01	e01	c04	u001	['Ross Geller']	I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.	"[['I', ""'m"", 'supposed', 'to', 'attach', 'a', 'brackety', 'thing', 'to', 'the', 'side', 'things', ',', 'using', 'a', 'bunch', 'of', 'these', 'little', 'worm', 'guys', '.'], ['I', 'have', 'no', 'brackety', 'thing', ',', 'I', 'see', 'no', 'whim', 'guys', 'whatsoever', 'and', '-', 'I', 'can', 'not', 'feel', 'my', 'legs', '.']]"	Mad	s01e01c04u001
s01	e01	c04	u003	['Joey Tribbiani']	I'm thinking we've got a bookcase here.	"[['I', ""'m"", 'thinking', 'we', ""'ve"", 'got', 'a', 'bookcase', 'here', '.']]"	Neutral	s01e01c04u003
s01	e01	c04	u004	['Chandler Bing']	It's a beautiful thing.	"[['It', ""'s"", 'a', 'beautiful', 'thing', '.']]"	Joyful	s01e01c04u004
s01	e01	c04	u005	['Joey Tribbiani']	What's this?	"[['What', ""'s"", 'this', '?']]"	Neutral	s01e01c04u005
s01	e01	c04	u006	['Chandler Bing']	I would have to say that is an 'L'-shaped bracket.	"[['I', 'would', 'have', 'to', 'say', 'that', 'is', 'an', ""'"", ""L'"", '-', 'shaped', 'bracket', '.']]"	Neutral	s01e01c04u006
s01	e01	c04	u007	['Joey Tribbiani']	Which goes where?	[['Which', 'goes', 'where', '?']]	Neutral	s01e01c04u007
s01	e01	c04	u008	['Chandler Bing']	I have no idea.	[['I', 'have', 'no', 'idea', '.']]	Scared	s01e01c04u008
s01	e01	c04	u010	['Joey Tribbiani']	Done with the bookcase!	[['Done', 'with', 'the', 'bookcase', '!']]	Joyful	s01e01c04u010
s01	e01	c04	u011	['Chandler Bing']	All finished!	[['All', 'finished', '!']]	Joyful	s01e01c04u011
s01	e01	c04	u012	['Ross Geller']	This was Carol's favorite beer. She always drank it out of the can, I should have known.	"[['This', 'was', 'Carol', ""'s"", 'favorite', 'beer', '.'], ['She', 'always', 'drank', 'it', 'out', 'of', 'the', 'can', ',', 'I', 'should', 'have', 'known', '.']]"	Sad	s01e01c04u012
s01	e01	c04	u013	['Joey Tribbiani']	Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.	"[['Hey', '-', 'hey', '-', 'hey', '-', 'hey', ',', 'if', 'you', ""'re"", 'gon', 'na', 'start', 'with', 'that', 'stuff', 'we', ""'re"", 'outta', 'here', '.']]"	Mad	s01e01c04u013
s01	e01	c04	u014	['Chandler Bing']	Yes, please don't spoil all this fun.	"[['Yes', ',', 'please', 'do', ""n't"", 'spoil', 'all', 'this', 'fun', '.']]"	Scared	s01e01c04u014
s01	e01	c04	u015	['Joey Tribbiani']	Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?	[['Ross', ',', 'let', 'me', 'ask', 'you', 'a', 'question', '.'], ['She', 'got', 'the', 'furniture', ',', 'the', 'stereo', ',', 'the', 'good', 'TV', '-', 'what', 'did', 'you', 'get', '?']]	Neutral	s01e01c04u015
s01	e01	c04	u016	['Ross Geller']	You guys.	[['You', 'guys', '.']]	Sad	s01e01c04u016
s01	e01	c04	u017	['Chandler Bing']	Oh, God.	[['Oh', ',', 'God', '.']]	Sad	s01e01c04u017
s01	e01	c04	u018	['Joey Tribbiani']	You got screwed.	[['You', 'got', 'screwed', '.']]	Mad	s01e01c04u018
s01	e01	c04	u019	['Chandler Bing']	Oh my God!	[['Oh', 'my', 'God', '!']]	Mad	s01e01c04u019
s01	e01	c05	u001	['Monica Geller']	Oh my God!	[['Oh', 'my', 'God', '!']]	Mad	s01e01c05u001
s01	e01	c05	u002	['Paul the Wine Guy']	I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?	"[['I', 'know', ',', 'I', 'know', ',', 'I', ""'m"", 'such', 'an', 'idiot', '.'], ['I', 'guess', 'I', 'should', 'have', 'caught', 'on', 'when', 'she', 'started', 'going', 'to', 'the', 'dentist', 'four', 'and', 'five', 'times', 'a', 'week', '.'], ['I', 'mean', ',', 'how', 'clean', 'can', 'teeth', 'get', '?']]"	Sad	s01e01c05u002
s01	e01	c05	u003	['Monica Geller']	My brother's going through that right now, he's such a mess. How did you get through it?	"[['My', 'brother', ""'s"", 'going', 'through', 'that', 'right', 'now', ',', 'he', ""'s"", 'such', 'a', 'mess', '.'], ['How', 'did', 'you', 'get', 'through', 'it', '?']]"	Sad	s01e01c05u003
s01	e01	c05	u004	['Paul the Wine Guy']	Well, you might try accidentally breaking something valuable of hers, say her-	[['Well', ',', 'you', 'might', 'try', 'accidentally', 'breaking', 'something', 'valuable', 'of', 'hers', ',', 'say', 'her', '-']]	Powerful	s01e01c05u004
s01	e01	c05	u005	['Monica Geller']	-leg?	[['-', 'leg', '?']]	Joyful	s01e01c05u005
