season	episode	scene	utterance	speaker	transcript	tokens	emotion
s04	e11	c01	u002	['Phoebe Buffay']	Oh my God! I can't believe my little brother is married!	"[['Oh', 'my', 'God', '!'], ['I', 'ca', ""n't"", 'believe', 'my', 'little', 'brother', 'is', 'married', '!']]"	Powerful
s04	e11	c01	u003	['Frank Buffay Jr.']	Oh I know!!	[['Oh', 'I', 'know', '!!']]	Joyful
s04	e11	c01	u004	['Phoebe Buffay']	You guys, why didn't you tell me you were eloping?	"[['You', 'guys', ',', 'why', 'did', ""n't"", 'you', 'tell', 'me', 'you', 'were', 'eloping', '?']]"	Scared
s04	e11	c01	u005	['Frank Buffay Jr.']	'Cause it just sorta happened, y'know we were at the courthouse, we were having lunch...	"[[""'"", 'Cause', 'it', 'just', 'sorta', 'happened', ',', ""y'know"", 'we', 'were', 'at', 'the', 'courthouse', ',', 'we', 'were', 'having', 'lunch', '...']]"	Sad
s04	e11	c01	u006	['Phoebe Buffay']	Wait, wait, why were you at the courthouse?	[['Wait', ',', 'wait', ',', 'why', 'were', 'you', 'at', 'the', 'courthouse', '?']]	Scared
s04	e11	c01	u007	['Frank Buffay Jr.']	"We were having lunch. Yeah and then all of the sudden we were like, ""Hey! Y'know, we're here, having lunch let's get married!"	"[['We', 'were', 'having', 'lunch', '.'], ['Yeah', 'and', 'then', 'all', 'of', 'the', 'sudden', 'we', 'were', 'like', ',', '""', 'Hey', '!'], [""Y'know"", ',', 'we', ""'re"", 'here', ',', 'having', 'lunch', 'let', ""'s"", 'get', 'married', '!']]"	Joyful
s04	e11	c01	u008	['Phoebe Buffay']	Wow, a year and a half ago I didn't even know I had a brother, and now I have a sister too. Okay. Okay. Stop it, don't. So, I gotta get you a gift now. Is there anything you need?	"[['Wow', ',', 'a', 'year', 'and', 'a', 'half', 'ago', 'I', 'did', ""n't"", 'even', 'know', 'I', 'had', 'a', 'brother', ',', 'and', 'now', 'I', 'have', 'a', 'sister', 'too', '.'], ['Okay', '.'], ['Okay', '.'], ['Stop', 'it', ',', 'do', ""n't"", '.'], ['So', ',', 'I', 'got', 'ta', 'get', 'you', 'a', 'gift', 'now', '.'], ['Is', 'there', 'anything', 'you', 'need', '?']]"	Joyful
s04	e11	c01	u009	['Frank Buffay Jr.']	Uhh, yeah.	[['Uhh', ',', 'yeah', '.']]	Neutral
s04	e11	c01	u010	['Alice Knight']	We've been trying to get pregnant, uh pretty much ever since we got engaged, we thought we'd get a jump on things, y'know no one's getting any younger.	"[['We', ""'ve"", 'been', 'trying', 'to', 'get', 'pregnant', ',', 'uh', 'pretty', 'much', 'ever', 'since', 'we', 'got', 'engaged', ',', 'we', 'thought', 'we', ""'d"", 'get', 'a', 'jump', 'on', 'things', ',', ""y'know"", 'no', 'one', ""'s"", 'getting', 'any', 'younger', '.']]"	Joyful
s04	e11	c01	u011	['Frank Buffay Jr.']	See the thing is umm, we're not able to y'know, uh, conceive.	"[['See', 'the', 'thing', 'is', 'umm', ',', 'we', ""'re"", 'not', 'able', 'to', ""y'know"", ',', 'uh', ',', 'conceive', '.']]"	Neutral
s04	e11	c01	u012	['Alice Knight']	And we've tried everything, we've seen a bunch of doctors.	"[['And', 'we', ""'ve"", 'tried', 'everything', ',', 'we', ""'ve"", 'seen', 'a', 'bunch', 'of', 'doctors', '.']]"	Neutral
s04	e11	c01	u013	['Frank Buffay Jr.']	Yeah, and they-and they say that our-that our only chance to have a baby is that if they take my sperm, her egg and put it together in a dish and then put it into another girl. So we were wondering if you could be the girl that we could put it into.	[['Yeah', ',', 'and', 'they', '-', 'and', 'they', 'say', 'that', 'our', '-', 'that', 'our', 'only', 'chance', 'to', 'have', 'a', 'baby', 'is', 'that', 'if', 'they', 'take', 'my', 'sperm', ',', 'her', 'egg', 'and', 'put', 'it', 'together', 'in', 'a', 'dish', 'and', 'then', 'put', 'it', 'into', 'another', 'girl', '.'], ['So', 'we', 'were', 'wondering', 'if', 'you', 'could', 'be', 'the', 'girl', 'that', 'we', 'could', 'put', 'it', 'into', '.']]	Powerful
s04	e11	c01	u014	['Phoebe Buffay']	That's a really nice gift. I was thinking of like a gravy boat.	"[['That', ""'s"", 'a', 'really', 'nice', 'gift', '.'], ['I', 'was', 'thinking', 'of', 'like', 'a', 'gravy', 'boat', '.']]"	Joyful
s04	e11	c05	u002	['Phoebe Abbott']	It's open! Come in!	"[['It', ""'s"", 'open', '!'], ['Come', 'in', '!']]"	Peaceful
s04	e11	c05	u003	['Phoebe Buffay']	Hi!	[['Hi', '!']]	Neutral
s04	e11	c05	u004	['Phoebe Abbott']	Hi!	[['Hi', '!']]	Joyful
s04	e11	c05	u005	['Phoebe Buffay']	I'm sorry, I'm late.	"[['I', ""'m"", 'sorry', ',', 'I', ""'m"", 'late', '.']]"	Scared
s04	e11	c05	u006	['Phoebe Abbott']	Oh, that's okay, it gave me time to finish glazing my nipples.	"[['Oh', ',', 'that', ""'s"", 'okay', ',', 'it', 'gave', 'me', 'time', 'to', 'finish', 'glazing', 'my', 'nipples', '.']]"	Joyful
s04	e11	c05	u007	['Phoebe Buffay']	Wow! You really go all out when you're expecting company.	"[['Wow', '!'], ['You', 'really', 'go', 'all', 'out', 'when', 'you', ""'re"", 'expecting', 'company', '.']]"	Scared
s04	e11	c05	u008	['Phoebe Abbott']	No, I was working on my pottery.	[['No', ',', 'I', 'was', 'working', 'on', 'my', 'pottery', '.']]	Joyful
s04	e11	c05	u009	['Phoebe Buffay']	Oh! Ooh! Oh, I didn't know that you did...pot.	"[['Oh', '!'], ['Ooh', '!'], ['Oh', ',', 'I', 'did', ""n't"", 'know', 'that', 'you', 'did', '...'], ['pot', '.']]"	Scared
s04	e11	c05	u010	['Phoebe Abbott']	Well, yeah, mostly nudes. It combines my two passions, pottery and erotica.	[['Well', ',', 'yeah', ',', 'mostly', 'nudes', '.'], ['It', 'combines', 'my', 'two', 'passions', ',', 'pottery', 'and', 'erotica', '.']]	Powerful
s04	e11	c05	u011	['Phoebe Buffay']	Ooh, erotiery!	[['Ooh', ',', 'erotiery', '!']]	Scared
