season	episode	scene	utterance	speaker	transcript	tokens	emotion
s03	e20	c01	u002	['Chandler Bing']	Wait a minute, wait. You're telling me this actress person is the only woman you ever wanted who didn't want you back?!	"[['Wait', 'a', 'minute', ',', 'wait', '.'], ['You', ""'re"", 'telling', 'me', 'this', 'actress', 'person', 'is', 'the', 'only', 'woman', 'you', 'ever', 'wanted', 'who', 'did', ""n't"", 'want', 'you', 'back', '?!']]"	Joyful
s03	e20	c01	u003	['Joey Tribbiani']	Yeah! Oh my God! Is this what it's like to be you?	"[['Yeah', '!'], ['Oh', 'my', 'God', '!'], ['Is', 'this', 'what', 'it', ""'s"", 'like', 'to', 'be', 'you', '?']]"	Joyful
s03	e20	c01	u004	['Monica Geller']	Wow, you're really crazy about her, huh?	"[['Wow', ',', 'you', ""'re"", 'really', 'crazy', 'about', 'her', ',', 'huh', '?']]"	Joyful
s03	e20	c01	u005	['Joey Tribbiani']	Oh, you have no idea. And-and when we're on stage I get to-to kiss her and-and touch her, but then she goes home with the director, and it's like somebody's ripping out my heart!	"[['Oh', ',', 'you', 'have', 'no', 'idea', '.'], ['And', '-', 'and', 'when', 'we', ""'re"", 'on', 'stage', 'I', 'get', 'to', '-', 'to', 'kiss', 'her', 'and', '-', 'and', 'touch', 'her', ',', 'but', 'then', 'she', 'goes', 'home', 'with', 'the', 'director', ',', 'and', 'it', ""'s"", 'like', 'somebody', ""'s"", 'ripping', 'out', 'my', 'heart', '!']]"	Joyful
s03	e20	c01	u006	['Phoebe Buffay']	Oh, it's so great to see you feeling like this!	"[['Oh', ',', 'it', ""'s"", 'so', 'great', 'to', 'see', 'you', 'feeling', 'like', 'this', '!']]"	Joyful
s03	e20	c01	u007	['Ross Geller']	Hey!	[['Hey', '!']]	Joyful
s03	e20	c01	u008	['#ALL#']	Hey!	[['Hey', '!']]	Joyful
s03	e20	c01	u009	['Ross Geller']	Monica, uh Dad called this morning and ah, Aunt Silvia passed away.	[['Monica', ',', 'uh', 'Dad', 'called', 'this', 'morning', 'and', 'ah', ',', 'Aunt', 'Silvia', 'passed', 'away', '.']]	Sad
s03	e20	c01	u010	['Monica Geller']	Yes!! Yes! Yeah, yeah, yeah!	[['Yes', '!!'], ['Yes', '!'], ['Yeah', ',', 'yeah', ',', 'yeah', '!']]	Joyful
s03	e20	c01	u011	['Ross Geller']	We were all pretty shaken up about it.	[['We', 'were', 'all', 'pretty', 'shaken', 'up', 'about', 'it', '.']]	Sad
s03	e20	c01	u012	['Phoebe Buffay']	Wait, am I missing something though? 'Cause I thought death was something that's supposed to be sad, in a way.	"[['Wait', ',', 'am', 'I', 'missing', 'something', 'though', '?'], [""'"", 'Cause', 'I', 'thought', 'death', 'was', 'something', 'that', ""'s"", 'supposed', 'to', 'be', 'sad', ',', 'in', 'a', 'way', '.']]"	Neutral
s03	e20	c01	u013	['Ross Geller']	Well ah, Aunt Silvia was, well not a nice person.	[['Well', 'ah', ',', 'Aunt', 'Silvia', 'was', ',', 'well', 'not', 'a', 'nice', 'person', '.']]	Neutral
s03	e20	c01	u014	['Monica Geller']	Oh, she was a cruel, cranky, old bitch! And I'm sorry she died. Did Dad say I get the dollhouse?	"[['Oh', ',', 'she', 'was', 'a', 'cruel', ',', 'cranky', ',', 'old', 'bitch', '!'], ['And', 'I', ""'m"", 'sorry', 'she', 'died', '.'], ['Did', 'Dad', 'say', 'I', 'get', 'the', 'dollhouse', '?']]"	Joyful
s03	e20	c01	u015	['Ross Geller']	You get the dollhouse.	[['You', 'get', 'the', 'dollhouse', '.']]	Neutral
s03	e20	c01	u016	['Monica Geller']	I get the dollhouse!	[['I', 'get', 'the', 'dollhouse', '!']]	Joyful
s03	e20	c01	u017	['Phoebe Buffay']	Wow, a house for dolls, that is so cool! When I was kid, I had a barrel.	[['Wow', ',', 'a', 'house', 'for', 'dolls', ',', 'that', 'is', 'so', 'cool', '!'], ['When', 'I', 'was', 'kid', ',', 'I', 'had', 'a', 'barrel', '.']]	Neutral
s03	e20	c01	u018	['Joey Tribbiani']	Uh, Pheebs, you had a barrel for a dollhouse?	[['Uh', ',', 'Pheebs', ',', 'you', 'had', 'a', 'barrel', 'for', 'a', 'dollhouse', '?']]	Neutral
s03	e20	c01	u019	['Phoebe Buffay']	No, just a barrel.	[['No', ',', 'just', 'a', 'barrel', '.']]	Neutral
s03	e20	c01	u020	['Monica Geller']	Y'know what, you can play with my dollhouse.	"[[""Y'know"", 'what', ',', 'you', 'can', 'play', 'with', 'my', 'dollhouse', '.']]"	Joyful
s03	e20	c01	u021	['Phoebe Buffay']	Really?! Really?!	[['Really', '?!'], ['Really', '?!']]	Joyful
s03	e20	c01	u022	['Monica Geller']	Any time you want. Y'know, when I was younger, all I wanted to do was to play with this dollhouse, but no!! It was to be looked at, but never played with.	"[['Any', 'time', 'you', 'want', '.'], [""Y'know"", ',', 'when', 'I', 'was', 'younger', ',', 'all', 'I', 'wanted', 'to', 'do', 'was', 'to', 'play', 'with', 'this', 'dollhouse', ',', 'but', 'no', '!!'], ['It', 'was', 'to', 'be', 'looked', 'at', ',', 'but', 'never', 'played', 'with', '.']]"	Joyful
s03	e20	c01	u023	['Chandler Bing']	My Grandmother used to say that exact same thing to me.	[['My', 'Grandmother', 'used', 'to', 'say', 'that', 'exact', 'same', 'thing', 'to', 'me', '.']]	Joyful
