start_time	word
11.7	Tell
11.9	him.
12.1	Please
12.3	tell
12.5	him.
12.7	Tell
12.9	him.
13.7	Shut
13.9	up.
14.1	Tell
14.3	me
14.5	what?
16.0	You
16.2	won't
16.4	even
16.6	look
16.8	at
17.0	him.
17.2	Oh,
17.4	come
17.6	on,
17.8	tell
18.0	me.
18.7	I
18.9	could
19.1	use
19.3	another
19.5	reason
19.7	why
19.9	women
20.1	won't
20.3	look
20.5	at
20.7	me.
21.9	All
22.1	right,
22.3	all
22.5	right,
22.7	all
22.9	right.
23.5	Last
25.5	night,
27.5	I
29.5	had
31.5	a
33.5	dream...
25.6	...that,
25.8	um,
26.0	you
26.2	and
26.4	I
26.6	were,
26.8	uh...
29.3	Doing
29.5	it
29.7	on
29.9	this
30.1	table.
32.3	Wow.
32.5	Excellent
32.7	dream
32.9	score.
38.6	Why...?
38.8	Why
39.0	would
39.2	you
39.4	dream
39.6	that?
43.2	More
43.4	importantly,
43.6	was
43.8	I
44.0	any
44.2	good?
47.6	Well,
47.8	you
48.0	were
48.2	pretty
48.4	damned
48.6	good.
48.8	Ha,
49.0	ha.
50.4	Interesting,
50.6	because
50.8	in
51.0	my
51.2	dreams,
51.4	I'm
51.6	surprisingly
51.8	inadequate.
56.0	Well,
57.0	last
57.9	night,
58.9	you
59.1	seemed
59.3	to
59.5	know
59.7	your
59.9	way
60.1	around
60.3	the
60.5	table.
61.0	[ROSS
61.2	CHUCKLES]
64.8	I
65.0	love
65.2	it
65.4	when
65.6	we
65.8	share.
69.5	You
69.7	okay
69.9	there?
70.7	I
70.9	can't
71.1	believe
71.3	you
71.5	two
71.7	had
71.9	sex
72.1	in
72.3	her
72.5	dream.
74.6	I'm
74.8	sorry.
75.0	It
75.2	was
75.4	a
75.6	one-time
75.8	thing.
76.6	I
76.8	was
77.0	very
77.2	drunk,
77.4	and
77.6	it
77.8	was
78.0	someone
78.2	else's
78.4	subconscious.
130.3	Hello,
130.5	Rachel.
130.7	Ugh.
132.2	Get
132.4	off.
135.5	Ooh.
135.7	Oh,
136.0	give
136.2	me.
136.5	Can
136.7	you
137.0	see
137.2	me
137.5	operating
137.8	a
137.8	drill
138.0	press?
140.8	I
141.0	don't
141.2	know.
141.4	What
141.6	are
141.8	you
142.0	wearing?
146.6	Pheebs,
146.8	why
147.0	would
147.2	you
147.4	want
147.6	to
147.8	operate
148.0	a
148.2	drill
148.4	press?
149.7	Just
149.9	for
150.1	some
150.3	short-term
150.5	work.
151.2	You
153.2	know,
155.2	till
157.2	I
159.2	get
161.2	back
163.2	some
165.2	of
167.2	my
169.2	massage
171.2	clients.
153.8	Pirates
154.0	again?
155.9	No.
156.1	Nothing
156.3	like
156.5	that.
158.6	I'm
159.1	just
159.6	such
160.1	a
160.3	dummy.
161.1	I
161.3	taught
161.5	this
161.7	"""Massage"
161.9	Yourself
162.1	at
162.3	"Home"""
162.5	workshop.
163.9	And
164.1	they
164.3	are.
167.1	Hey,
167.3	hey,
167.5	Chan,
167.7	she
167.9	could
168.1	work
168.3	for
168.5	you.
169.9	Thanks,
170.3	Joey.
170.6	That's
171.0	a
171.2	good
171.4	idea.
172.8	What?
173.0	I
173.2	could.
173.4	I
173.6	could
173.8	do
174.0	it.
174.2	What
174.4	is
174.6	it?
176.0	Well,
176.2	my
176.4	secretary's
176.6	gonna
176.8	be
177.0	out.
177.8	She's
178.2	having
178.5	one
178.9	of
179.1	her
179.3	boobs
179.5	reduced.
181.5	It's
181.7	a
181.9	whole
182.1	big
182.3	boob
182.5	story.
184.3	I
184.5	could
184.7	be
184.9	a
185.1	secretary.
186.1	Well,
186.3	I
186.5	don't
186.7	know
186.9	if
187.1	it's
187.3	your
187.5	kind
187.7	of
187.9	thing...
188.4	...because,
188.7	uh,
189.0	it
189.3	involves
189.6	a
189.8	lot
190.0	of
190.2	being
190.4	normal...
191.3	...ahem,
191.5	for
191.7	a
191.9	large
192.1	portion
192.3	of
192.5	the
192.7	day.
194.2	I
194.4	could
194.6	do
194.8	that.
196.5	[BEEPER
196.7	BEEPING]
197.7	What
197.9	are
198.1	you
198.3	playing
198.5	with?
198.7	It's
198.9	my
199.1	new
199.3	beeper.
200.0	Why
200.2	the
200.4	hell
200.6	does
200.8	a
201.0	paleontologist
201.2	need
201.4	a
201.6	beeper
201.8	for?
202.7	Is
202.9	it,
203.1	like,
203.3	for
203.5	dinosaur
203.7	emergencies?
203.9	"""Help,"
204.1	come
204.3	quick!
204.5	They're
204.7	still
204.9	"extinct!"""
206.9	[CHANDLER
207.1	LAUGHS]
208.2	No,
208.4	it's
208.6	for
208.8	when
209.0	Carol
209.2	goes
209.4	into
209.6	labor.
209.8	She
210.0	can
210.2	get
210.4	me
210.6	wherever
210.8	I
211.0	am.
211.9	All
212.1	she
212.3	has
212.5	to
212.7	do
212.9	is
213.1	dial
213.3	55-JIMBO.
216.4	A
216.6	cool
216.8	phone
217.0	number
217.2	and
217.4	a
217.6	possible
217.8	name
218.0	for
218.2	the
218.4	kid.
220.1	I'll
220.3	see
220.5	you
220.7	guys
220.9	later.
221.1	Off
221.3	to
221.5	see
221.7	young
221.9	Ethan?
223.2	Thank
223.4	you.
225.6	How
225.8	young
226.0	is
226.2	young
226.4	Ethan?
226.6	Young?
229.0	He's
229.2	our
229.4	age.
231.5	When
231.7	we
231.9	were?
236.9	Okay,
237.1	he's
237.3	a
237.5	senior
