start_time	word
162.0	Hey,
162.2	Phoebe.
163.9	Hey,
164.1	oh,
164.3	how
164.5	did
164.7	it
164.9	go?
165.4	Um,
165.6	not
165.8	so
166.0	good.
166.6	He
166.8	walked
167.0	me
167.2	to
167.4	the
167.6	subway
167.8	and
168.0	said,
168.2	"""We"
168.4	should
168.6	do
168.8	this
169.0	"again."""
169.7	Ouch.
169.9	What?
170.1	He
170.3	said,
170.5	"""We"
170.7	should
170.9	do
171.1	it
171.3	"again."""
172.5	That's
172.7	good,
172.9	right?
173.8	Uh,
174.0	no.
174.2	Loosely
174.4	translated,
174.6	"""We"
174.8	should
175.0	do
175.2	this
175.4	"again,"""
175.6	means:
177.1	"""You"
177.3	will
177.5	never
177.7	see
177.9	me
178.1	"naked."""
180.3	Since
180.5	when?
181.7	Since
181.9	always.
182.1	It's,
182.3	like,
182.5	dating
182.7	language.
185.3	You
185.5	know,
185.7	like,
185.9	"""It's"
186.1	not
186.3	"you,"""
186.5	means,
186.7	"""It"
186.9	is
187.1	"you."""
189.9	"""You're"
190.1	such
190.3	a
190.5	nice
190.7	"guy,"""
190.9	means:
191.5	"""I'm"
191.7	gonna
191.9	be
192.1	dating
192.3	leather-wearing
192.5	alcoholics...
194.1	...and
194.4	complaining
194.8	about
195.1	them
195.4	to
195.6	"you."""
196.9	Or,
197.2	you
197.4	know,
197.7	um,
198.0	"""I"
198.2	think
198.5	we
198.7	should
198.9	see
199.1	other
199.3	"people,"""
199.5	means:
199.8	"""Ha,"
200.0	ha,
200.2	I
200.4	already
200.6	"am."""
202.7	And
202.9	everybody
203.1	knows
203.3	this?
204.4	Oh,
204.6	yeah.
204.8	Cushions
205.0	the
205.2	blow.
206.5	Like
208.5	when
210.5	you're
212.5	a
214.5	kid
216.5	and
218.5	your
220.5	parents
222.5	put
224.5	your
226.5	dog
228.5	to
230.5	sleep...
209.3	...and
209.5	they
209.7	tell
209.9	you
210.1	it
210.3	went
210.5	off
210.7	to
210.9	live
211.1	on
211.3	some
211.5	farm.
211.9	That's
212.1	funny.
212.3	No,
212.5	because,
212.7	uh,
212.9	our
213.1	parents
213.3	actually
213.5	did...
215.2	...uh,
215.4	send
215.6	our
215.8	dog
216.0	off
216.2	to
216.4	live
216.6	on
216.8	a
217.0	farm.
217.9	Uh,
218.1	Ross?
221.4	Ha,
221.6	ha.
221.8	Hello.
222.0	The
222.2	Milner's
222.4	farm
222.6	in
222.8	Connecticut?
225.0	The
225.2	Milners,
225.4	they
225.6	had
225.8	this
226.0	unbelievable
226.2	farm.
227.7	They
227.9	had
228.1	horses
228.3	and
228.5	rabbits
228.7	that
228.9	he
229.1	could
229.3	chase.
230.4	And
230.6	it
230.8	was...
234.8	Oh,
235.0	my
235.2	God.
235.4	Chi-Chi.
291.5	"""So"
291.7	how
291.9	does
292.1	it
292.3	feel
292.5	knowing
292.7	you're
292.9	about
293.1	to
293.3	"die?"""
294.6	Warden,
294.8	in
295.0	five
295.2	minutes
295.4	my
295.6	pain
