start_time	word
6.3	I'm
6.5	telling
6.7	you,
6.9	Ross,
7.1	she
7.3	wants
7.5	you.
9.0	She
9.1	barely
9.2	knows
9.3	me.
9.7	We
10.0	just
10.3	live
10.7	in
10.9	the
11.1	same
11.3	building.
11.6	Any
11.8	contact?
12.0	She
12.2	lent
12.4	me
12.6	an
12.8	egg
13.0	once.
14.1	You're
14.3	in.
16.4	Oh,
16.6	right.
18.7	Hey,
18.9	Ross.
19.1	Hey.
20.7	[CHUCKLES
20.9	NERVOUSLY]
26.1	Come
26.3	on,
26.5	Ross.
26.7	You
26.9	gotta
27.1	get
27.3	back
27.5	in
27.7	the
27.9	game
28.1	here.
29.0	The
29.3	Rachel
29.5	thing's
29.8	not
30.1	happening,
30.4	your
30.6	ex-wife's
30.9	a
31.1	lesbian,
31.3	you...
34.1	I
34.3	don't
34.5	think
34.7	we
34.9	need
35.1	a
35.3	third.
36.3	Excuse
38.3	me.
40.3	Could
42.3	we
44.3	get
46.3	an
48.3	egg
50.3	over
52.3	here,
54.3	still
56.3	in
58.3	the
60.3	shell?
39.7	An
39.9	egg?
41.0	Yeah.
41.2	Go
41.4	up
41.6	to
41.8	her
42.0	and
42.2	say,
42.4	"""Here's"
42.6	your
42.8	egg
43.0	back.
43.2	I'm
43.4	returning
43.6	your
43.8	"egg."""
46.4	I
46.6	think
46.8	it's
47.0	winning.
49.0	I
49.2	think
49.4	it's
49.6	insane.
49.8	She'll
50.0	love
50.2	it.
52.6	Thank
52.8	you.
53.0	Thank
53.2	you.
53.4	Here.
56.8	[STUTTERS]
58.5	Go
58.7	with
58.9	the
59.1	egg,
59.3	my
59.5	friend.
62.8	Go,
63.0	go,
63.2	go.
67.2	Think
67.4	it'll
67.6	work?
67.8	It's
68.0	suicide.
68.2	The
68.4	man's
68.6	got
68.8	an
69.0	egg.
120.9	What?
121.1	Do
121.3	what?
123.3	Roger
123.5	wants
123.7	to
123.9	take
124.1	her
124.3	out.
125.0	No.
125.2	Pheebs.
125.4	Don't
125.6	you
125.8	remember
126.0	why
126.2	you
126.4	dumped
126.6	the
126.8	guy?
128.7	Because
128.9	he
129.1	was
129.3	creepy.
131.2	And
131.4	mean.
131.6	And
131.8	a
132.0	little
132.2	frightening.
133.4	Still,
133.6	it's
133.8	nice
134.0	to
134.2	have
134.4	a
134.6	date
134.8	on
135.0	Valentine's
135.2	Day.
137.1	Hi.
137.3	Hi.
138.4	You
138.6	can
138.8	go
139.0	out
139.2	with
139.4	a
139.6	creep
139.8	any
140.0	night
140.2	of
140.4	the
140.6	year.
141.7	I
141.9	know
142.1	I
142.3	do.
144.2	Hi.
144.4	Hi.
146.5	What
146.7	are
146.9	you
147.1	doing
147.3	tomorrow
147.5	night?
148.4	Actually,
150.4	tomorrow
152.4	night
154.4	depends
156.4	on
158.4	how
160.4	tonight
162.4	goes.
150.9	Oh.
151.0	Uh,
151.2	listen,
151.3	about
