start_time	word
150.2	[ALL
150.4	WHISTLING
150.6	THEME
150.8	FROM
151.0	THE
151.2	BRIDGE
151.4	ON
151.6	THE
151.8	RIVER
152.0	KWAl]
162.5	Rach,
162.7	we're
162.9	running
163.1	low
163.3	on
163.5	résumés
163.7	over
163.9	here.
165.1	Do
165.3	you
165.5	really
165.7	want
165.9	a
166.1	job
166.3	with
166.5	Popular
166.7	Mechanics?
167.6	Well,
167.8	if
168.0	you're
168.2	gonna
168.4	work
168.6	for
168.8	mechanics,
169.0	those
169.2	are
169.4	the
169.6	ones
169.8	to
170.0	work
170.2	for.
172.2	Hey,
172.4	look,
172.6	you
172.8	guys.
173.0	I'm
173.2	going
173.4	for
173.6	anything
173.8	here,
174.0	okay?
174.7	I
174.9	can't
175.1	be
175.3	a
175.5	waitress
175.7	anymore.
175.9	I
176.1	mean
176.3	it.
176.9	I'm
177.1	sick
177.3	of
177.5	the
177.7	lousy
177.9	tips.
178.1	I'm
178.3	sick
178.5	of
178.7	being
178.9	called
179.1	"""Excuse"
179.3	"Me."""
182.4	Rach,
182.6	did
182.8	you
183.0	proofread
183.2	these?
184.8	Uh,
185.0	yeah.
185.2	Why?
186.8	Uh,
187.0	nothing.
187.2	I'm
187.4	sure
187.6	they'll
187.8	be
188.0	impressed
188.2	with
188.4	your
188.6	excellent
188.8	"""compuper"""
189.0	skills.
192.6	Oh,
193.2	my
193.4	God!
195.2	Oh,
195.4	do
195.6	you
195.8	think
196.0	it's
196.2	on
196.4	all
196.6	of
196.8	them?
201.0	Oh,
201.2	no,
201.4	I'm
201.6	sure
201.8	the
202.0	Xerox
202.2	machine
202.4	caught
202.6	a
202.8	few.
255.9	Hey.
257.9	Hey.
258.1	Hi,
258.3	ladies.
260.5	Uh,
260.7	can
260.9	I
261.1	get
261.3	you
261.5	anything?
263.2	Did
263.3	you
263.4	bring
263.5	the
263.7	mail?
263.9	Lots
264.1	of
264.3	responses.
265.2	Really?
265.4	Sure
265.6	we
265.8	have
266.0	scones
266.2	left.
269.1	Okay,
269.3	read
269.5	them
269.7	to
269.9	me.
270.3	Thank
271.0	you
271.2	for
271.4	your
271.6	inquiry.
271.8	"However..."""
275.7	We
275.9	have
276.1	apple
276.3	cinnamon...
276.5	Okay,
276.7	"""Dear"
276.9	Miss
277.1	"Green""..."
278.3	Yeah.
278.5	Yeah,
278.7	yeah.
278.9	No.
